base_name,perc_artificial
img_00007_2019,11.56
img_00006_2019,12.50
img_00011_2019,11.97
img_00008_2019,12.11
img_00003_2019,8.15
img_00001_2019,11.85
img_00012_2019,12.26
img_00016_2019,5.43
img_00005_2019,12.19
img_00002_2019,8.06
img_00010_2019,12.40
img_00018_2019,12.50
img_00019_2019,4.15
img_00017_2019,8.28
img_00004_2019,10.81
img_00026_2019,8.09
img_00022_2019,8.33
img_00009_2019,12.50
img_00020_2019,8.13
img_00025_2019,12.43
img_00015_2019,12.43
img_00037_2019,12.16
img_00036_2019,8.09
img_00041_2019,4.17
img_00030_2019,11.80
img_00040_2019,4.17
img_00042_2019,8.33
img_00032_2019,12.38
img_00039_2019,5.00
img_00050_2019,13.99
img_00046_2019,8.10
img_00021_2019,8.22
img_00031_2019,9.38
img_00033_2019,11.55
img_00053_2019,8.18
img_00043_2019,12.33
img_00052_2019,8.15
img_00054_2019,8.87
img_00057_2019,8.52
img_00047_2019,11.06
img_00038_2019,12.91
img_00049_2019,4.91
img_00035_2019,4.33
img_00027_2019,6.76
img_00060_2019,11.67
img_00029_2019,12.40
img_00058_2019,11.26
img_00056_2019,6.98
img_00023_p01_2019,5.89
img_00066_2019,12.38
img_00064_2019,12.50
img_00013_p03_2019,12.46
img_00051_2019,8.90
img_00062_2019,12.30
img_00055_2019,10.63
img_00065_2019,12.50
img_00072_2019,8.08
img_00069_2019,12.17
img_00023_p02_2019,6.29
img_00044_p01_2019,8.63
img_00034_p01_2019,12.83
img_00034_p04_2019,10.71
img_00028_p01_2019,12.24
img_00075_2019,8.19
img_00044_p02_2019,8.73
img_00070_2019,9.64
img_00034_p02_2019,16.27
img_00028_p02_2019,12.50
img_00077_2019,7.97
img_00076_2019,7.95
img_00013_p01_2019,12.40
img_00078_2019,11.52
img_00034_p03_2019,8.52
img_00013_p02_2019,12.53
img_00074_2019,8.02
img_00086_2019,8.33
img_00083_2019,8.33
img_00000_p04_2019,10.47
img_00085_2019,8.00
img_00082_2019,12.50
img_00089_2019,10.26
img_00087_2019,8.33
img_00080_p01_2019,8.68
img_00090_2019,8.53
img_00091_2019,8.33
img_00081_2019,8.33
img_00068_2019,8.15
img_00079_2019,8.24
img_00094_2019,12.36
img_00093_2019,12.24
img_00048_2019,8.16
img_00095_2019,8.37
img_00073_2019,12.43
img_00080_p02_2019,12.41
img_00098_2019,8.33
img_00096_2019,8.16
img_00000_p02_2019,10.78
img_00100_2019,12.04
img_00028_p03_2019,12.45
img_00071_2019,8.31
img_00099_2019,12.50
img_00103_2019,7.94
img_00109_2019,12.19
img_00059_2019,12.25
img_00088_2019,8.89
img_00108_2019,12.06
img_00107_2019,8.56
img_00000_p01_2019,12.45
img_00092_2019,8.33
img_00102_2019,8.26
img_00067_2019,12.48
img_00014_p02_2019,7.95
img_00105_2019,9.09
img_00014_p05_2019,8.08
img_00113_2019,8.87
img_00116_2019,5.90
img_00045_2019,12.45
img_00115_2019,8.22
img_00000_p03_2019,11.58
img_00014_p03_2019,8.28
img_00112_2019,8.25
img_00014_p01_2019,8.42
img_00122_2019,0.06
img_00120_2019,8.33
img_00121_2019,7.78
img_00119_2019,8.33
img_00127_2019,8.13
img_00123_2019,8.10
img_00110_2019,8.18
img_00124_2019,8.34
img_00014_p06_2019,7.84
img_00114_2019,11.96
img_00132_2019,6.47
img_00128_2019,8.22
img_00118_2019,10.38
img_00129_2019,0.00
img_00126_2019,9.67
img_00134_2019,7.74
img_00101_2019,8.46
img_00061_2019,12.30
img_00106_p02_2019,10.95
img_00137_2019,6.17
img_00106_p01_2019,8.81
img_00136_2019,8.34
img_00141_2019,5.80
img_00117_p02_2019,8.33
img_00117_p01_2019,8.33
img_00142_2019,5.25
img_00147_2019,4.11
img_00145_2019,7.69
img_00146_2019,6.04
img_00139_2019,5.00
img_00104_p01_2019,11.16
img_00130_2019,12.19
img_00138_2019,8.53
img_00014_p07_2019,8.06
img_00104_p02_2019,8.78
img_00104_p03_2019,9.07
img_00148_2019,0.00
img_00084_p02_2019,11.16
img_00084_p03_2019,12.28
img_00104_p04_2019,8.70
img_00143_2019,8.27
img_00084_p01_2019,10.72
img_00153_2019,7.50
img_00135_p01_2019,8.75
img_00158_2019,4.17
img_00135_p02_2019,8.68
img_00155_2019,9.65
img_00131_p02_2019,8.28
img_00084_p04_2019,12.48
img_00144_2019,0.00
img_00151_2019,6.51
img_00152_2019,0.00
img_00161_2019,5.11
img_00125_2019,8.30
img_00111_p02_2019,13.69
img_00131_p01_2019,8.89
img_00149_2019,5.84
img_00111_p01_2019,12.25
img_00014_p04_2019,7.43
img_00163_2019,7.72
img_00063_p05_2019,10.72
