Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,267/409 (65.3%),318/409 (77.8%),235/409 (57.5%),220/409 (53.8%),248/506 (49.0%),200/506 (39.5%),219/506 (43.3%),211/506 (41.7%)
Campo Alagado,111/155 (71.6%),124/155 (80.0%),105/155 (67.7%),106/155 (68.4%),259/392 (66.1%),238/392 (60.7%),246/392 (62.8%),249/392 (63.5%)
Cana-de-açúcar,584/647 (90.3%),609/647 (94.1%),564/647 (87.2%),550/647 (85.0%),1393/1548 (90.0%),1351/1548 (87.3%),1372/1548 (88.6%),1355/1548 (87.5%)
Citrus,401/645 (62.2%),332/645 (51.5%),443/645 (68.7%),465/645 (72.1%),880/1183 (74.4%),917/1183 (77.5%),906/1183 (76.6%),906/1183 (76.6%)
Formação Florestal,1780/1873 (95.0%),1815/1873 (96.9%),1770/1873 (94.5%),1764/1873 (94.2%),3468/3786 (91.6%),3423/3786 (90.4%),3434/3786 (90.7%),3426/3786 (90.5%)
Pastagem,1171/1284 (91.2%),1208/1284 (94.1%),1124/1284 (87.5%),1104/1284 (86.0%),2084/2475 (84.2%),1996/2475 (80.6%),2035/2475 (82.2%),2008/2475 (81.1%)
Silvicultura,433/470 (92.1%),449/470 (95.5%),425/470 (90.4%),415/470 (88.3%),629/717 (87.7%),617/717 (86.1%),622/717 (86.8%),613/717 (85.5%)
Soja,653/752 (86.8%),693/752 (92.2%),631/752 (83.9%),604/752 (80.3%),1040/1278 (81.4%),993/1278 (77.7%),1010/1278 (79.0%),985/1278 (77.1%)
Recall 0,0.89,0.93,0.87,0.85,0.85,0.82,0.84,0.83
Recall 1,0.62,0.51,0.69,0.72,0.74,0.78,0.77,0.77
Precision 0,0.95,0.94,0.96,0.96,0.97,0.97,0.97,0.97
Precision 1,0.4,0.47,0.38,0.36,0.36,0.33,0.34,0.33
