Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,286/409 (69.9%),330/409 (80.7%),261/409 (63.8%),261/409 (63.8%),337/506 (66.6%),339/506 (67.0%),297/506 (58.7%),302/506 (59.7%)
Campo Alagado,134/155 (86.5%),144/155 (92.9%),131/155 (84.5%),129/155 (83.2%),304/392 (77.6%),303/392 (77.3%),291/392 (74.2%),293/392 (74.7%)
Cana-de-açúcar,596/647 (92.1%),616/647 (95.2%),592/647 (91.5%),585/647 (90.4%),1427/1548 (92.2%),1435/1548 (92.7%),1406/1548 (90.8%),1399/1548 (90.4%)
Citrus,421/645 (65.3%),364/645 (56.4%),451/645 (69.9%),452/645 (70.1%),877/1183 (74.1%),857/1183 (72.4%),898/1183 (75.9%),903/1183 (76.3%)
Formação Florestal,1804/1873 (96.3%),1838/1873 (98.1%),1791/1873 (95.6%),1799/1873 (96.0%),3591/3786 (94.8%),3603/3786 (95.2%),3561/3786 (94.1%),3565/3786 (94.2%)
Pastagem,1193/1284 (92.9%),1226/1284 (95.5%),1169/1284 (91.0%),1161/1284 (90.4%),2245/2475 (90.7%),2240/2475 (90.5%),2192/2475 (88.6%),2194/2475 (88.6%)
Silvicultura,441/470 (93.8%),456/470 (97.0%),439/470 (93.4%),439/470 (93.4%),656/717 (91.5%),655/717 (91.4%),644/717 (89.8%),650/717 (90.7%)
Soja,666/752 (88.6%),697/752 (92.7%),652/752 (86.7%),632/752 (84.0%),1073/1278 (84.0%),1077/1278 (84.3%),1053/1278 (82.4%),1049/1278 (82.1%)
Recall 0,0.92,0.95,0.9,0.9,0.9,0.9,0.88,0.88
Recall 1,0.65,0.56,0.7,0.7,0.74,0.72,0.76,0.76
Precision 0,0.96,0.95,0.96,0.96,0.97,0.97,0.97,0.97
Precision 1,0.47,0.56,0.45,0.44,0.45,0.45,0.42,0.42
