Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,311/409 (76.0%),348/409 (85.1%),293/409 (71.6%),314/409 (76.8%),336/506 (66.4%),363/506 (71.7%),320/506 (63.2%),311/506 (61.5%)
Campo Alagado,147/155 (94.8%),154/155 (99.4%),144/155 (92.9%),151/155 (97.4%),332/392 (84.7%),340/392 (86.7%),342/392 (87.2%),329/392 (83.9%)
Cana-de-açúcar,597/647 (92.3%),613/647 (94.7%),586/647 (90.6%),601/647 (92.9%),1407/1548 (90.9%),1439/1548 (93.0%),1410/1548 (91.1%),1392/1548 (89.9%)
Citrus,431/645 (66.8%),377/645 (58.4%),467/645 (72.4%),429/645 (66.5%),911/1183 (77.0%),878/1183 (74.2%),921/1183 (77.9%),919/1183 (77.7%)
Formação Florestal,1822/1873 (97.3%),1838/1873 (98.1%),1813/1873 (96.8%),1829/1873 (97.7%),3616/3786 (95.5%),3649/3786 (96.4%),3601/3786 (95.1%),3581/3786 (94.6%)
Pastagem,1238/1284 (96.4%),1252/1284 (97.5%),1209/1284 (94.2%),1233/1284 (96.0%),2301/2475 (93.0%),2330/2475 (94.1%),2279/2475 (92.1%),2291/2475 (92.6%)
Silvicultura,460/470 (97.9%),462/470 (98.3%),445/470 (94.7%),459/470 (97.7%),661/717 (92.2%),678/717 (94.6%),655/717 (91.4%),657/717 (91.6%)
Soja,681/752 (90.6%),693/752 (92.2%),658/752 (87.5%),667/752 (88.7%),1042/1278 (81.5%),1091/1278 (85.4%),1053/1278 (82.4%),1023/1278 (80.0%)
Recall 0,0.94,0.96,0.92,0.94,0.91,0.92,0.9,0.9
Recall 1,0.67,0.58,0.72,0.67,0.77,0.74,0.78,0.78
Precision 0,0.96,0.95,0.97,0.96,0.97,0.97,0.97,0.97
Precision 1,0.56,0.62,0.51,0.56,0.47,0.52,0.47,0.45
