Feature,Importance
EVI_min,0.07346073
EVI_median,0.07081439
B12_mean,0.058783945
NDMI_std,0.041024763
B3_min,0.03318544
B3_mean,0.017086713
B12_slope_up,0.01578928
B3_median,0.015707444
B11_std,0.014361108
B5_min,0.012758044
NDVI_median,0.012400858
B4_median,0.011682002
B7_median,0.011484509
B4_argmax,0.009950086
EVI_max,0.009899066
B12_argmax,0.00930877
B7_min,0.008979978
B8_argmax,0.008955066
NDMI_slope_up,0.008879565
NDMI_slope_down,0.008456984
EVI_slope_down,0.00840326
B8_min,0.008296163
NDTI_median,0.008252863
B4_mean,0.008012769
NDTI_min,0.008009075
B12_slope_down,0.007873302
B6_median,0.007846184
NDVI_std,0.007714286
B6_std,0.0075745294
B12_median,0.0074220276
NDTI_mean,0.007246694
B11_argmax,0.0072000343
B11_amplitude,0.007040734
B12_max,0.0069554523
B8_median,0.006804993
NDRE_amplitude,0.0067066452
NDMI_min,0.0065520606
B7_slope_up,0.0063818423
B11_max,0.006369399
B12_min,0.0063351463
B5_mean,0.0062231435
NDTI_std,0.0061032637
NDVI_max,0.0059367954
B11_median,0.005827262
NDRE_argmax,0.005642339
EVI_slope_up,0.0056063123
B8A_min,0.005525213
NDVI_mean,0.005470926
EVI_std,0.005410696
B2_min,0.005330558
B11_min,0.0052816337
B11_mean,0.005254703
NDRE_slope_down,0.0052490984
NDVI_slope_down,0.0052310196
B8A_mean,0.005221911
NDRE_max,0.0051795496
B2_median,0.0051709893
B7_mean,0.005027547
B2_mean,0.0050119925
NDMI_median,0.0049659624
B5_std,0.004954778
B4_amplitude,0.004943431
NDVI_slope_up,0.004942972
B11_slope_down,0.0049154134
B2_max,0.0048624338
B12_amplitude,0.004787829
B8A_median,0.0046850313
B8_slope_up,0.004652549
B3_slope_down,0.004650097
EVI_amplitude,0.004645327
B6_slope_up,0.004618874
B2_std,0.0046034832
B7_amplitude,0.0045648566
B8_max,0.0045395005
B5_slope_down,0.0045100595
B4_std,0.0044615995
B5_max,0.0044538095
B11_slope_up,0.004437861
B3_slope_up,0.0044258214
B8A_std,0.004356461
B8_mean,0.0043350896
B8_std,0.0042505045
NDTI_amplitude,0.0042179283
B8A_amplitude,0.0041783117
B6_argmax,0.004176064
NDMI_amplitude,0.0041135754
B7_argmax,0.0041050054
B2_slope_up,0.004102836
B8_slope_down,0.004057619
NDVI_amplitude,0.0040319855
B5_amplitude,0.004008749
NDTI_slope_down,0.003982477
B2_slope_down,0.0039675897
B4_slope_down,0.0039198548
B8_amplitude,0.0039057285
NDTI_slope_up,0.003887107
B6_max,0.0038728998
B3_std,0.0038280855
B4_max,0.0038096278
NDRE_median,0.0038064006
NDTI_max,0.0038015575
NDVI_min,0.0037952366
NDMI_argmax,0.0037735123
B5_argmax,0.0037668876
B8A_slope_down,0.0037645071
B7_max,0.0037608305
EVI_mean,0.0037263585
NDRE_slope_up,0.0037018699
B4_min,0.0036643415
NDTI_argmax,0.0036440834
B6_amplitude,0.0036287445
B2_amplitude,0.0035888534
NDMI_mean,0.0035751543
NDRE_std,0.0035493872
B3_max,0.003542621
B4_slope_up,0.0034805133
NDVI_argmax,0.003471811
B5_median,0.003468509
NDRE_min,0.0034599474
B8A_slope_up,0.0033504884
B5_slope_up,0.0033502611
B6_min,0.0033182732
B8A_argmax,0.0032988982
NDMI_max,0.0032666102
B12_std,0.0032543777
B7_std,0.0030987386
EVI_argmax,0.0030415575
B6_slope_down,0.0030361707
B8A_max,0.0030300478
B2_argmax,0.0030197545
B3_amplitude,0.002976331
NDRE_mean,0.0028620344
B6_mean,0.002797908
B7_slope_down,0.002584153
B3_argmax,0.0023430283
