y_true,probabilidade_modelo,predicao_final_limiar
1.0,0.29046422,0
1.0,0.0773006,0
1.0,0.9712348,1
1.0,0.99944764,1
1.0,0.9891661,1
1.0,0.5714983,0
1.0,0.6331058,0
1.0,0.93123543,1
1.0,0.3412819,0
1.0,0.84555244,1
1.0,0.8086489,1
1.0,0.996518,1
1.0,0.65498376,0
1.0,0.48553175,0
1.0,0.8434523,1
1.0,0.37500447,0
1.0,0.44478053,0
1.0,0.7267601,0
1.0,0.72061175,0
1.0,0.98384875,1
1.0,0.42212123,0
1.0,0.8203977,1
1.0,0.7195943,0
1.0,0.8176454,1
1.0,0.9977461,1
1.0,0.9953054,1
1.0,0.9602457,1
1.0,0.8709469,1
1.0,0.99971455,1
1.0,0.9964589,1
1.0,0.9982751,1
1.0,0.91627264,1
1.0,0.6328002,0
1.0,0.89742833,1
1.0,0.99779606,1
1.0,0.9577013,1
1.0,0.9991363,1
1.0,0.7835273,1
1.0,0.88426,1
1.0,0.993276,1
1.0,0.652876,0
1.0,0.95654505,1
1.0,0.24309197,0
1.0,0.9394725,1
1.0,0.94297457,1
1.0,0.9904224,1
1.0,0.52077407,0
1.0,0.8469678,1
1.0,0.9913665,1
1.0,0.99314785,1
1.0,0.9898879,1
1.0,0.9947175,1
1.0,0.97515315,1
1.0,0.989246,1
1.0,0.8363978,1
1.0,0.9734806,1
1.0,0.96800864,1
1.0,0.692186,0
1.0,0.989612,1
1.0,0.7030186,0
1.0,0.89133704,1
1.0,0.2514817,0
1.0,0.9541713,1
1.0,0.9765296,1
1.0,0.99763125,1
1.0,0.99328434,1
1.0,0.9968988,1
1.0,0.9470428,1
1.0,0.9759327,1
1.0,0.97894466,1
1.0,0.92399865,1
1.0,0.9667786,1
1.0,0.991377,1
1.0,0.979551,1
1.0,0.9789035,1
1.0,0.3307169,0
1.0,0.91567814,1
1.0,0.13580117,0
1.0,0.6061019,0
1.0,0.97752273,1
1.0,0.8877223,1
1.0,0.79810584,1
1.0,0.9985119,1
1.0,0.7743982,1
1.0,0.9987298,1
1.0,0.93025553,1
1.0,0.9960877,1
1.0,0.96409166,1
1.0,0.25283885,0
1.0,0.15822886,0
1.0,0.70926017,0
1.0,0.72323686,0
1.0,0.99045086,1
1.0,0.9909107,1
1.0,0.6621021,0
1.0,0.9594606,1
1.0,0.9922117,1
1.0,0.9905199,1
1.0,0.7984749,1
1.0,0.9695693,1
1.0,0.9521338,1
1.0,0.65087223,0
1.0,0.7298652,0
1.0,0.64701396,0
1.0,0.9882984,1
1.0,0.8914486,1
1.0,0.83926594,1
1.0,0.18599753,0
1.0,0.6763989,0
1.0,0.798797,1
1.0,0.9863497,1
1.0,0.5880564,0
1.0,0.7400431,0
1.0,0.09203471,0
1.0,0.68710643,0
1.0,0.3306986,0
1.0,0.84349424,1
1.0,0.8427273,1
