Year,2023,2023,2023,2024,2024,2024
Seed,42,43,44,42,43,44
Café,373/409 (91.2%),391/409 (95.6%),367/409 (89.7%),451/506 (89.1%),471/506 (93.1%),450/506 (88.9%)
Campo Alagado,154/155 (99.4%),155/155 (100.0%),155/155 (100.0%),389/392 (99.2%),389/392 (99.2%),390/392 (99.5%)
Cana-de-açúcar,638/647 (98.6%),644/647 (99.5%),631/647 (97.5%),1502/1548 (97.0%),1521/1548 (98.3%),1510/1548 (97.5%)
Citrus,407/645 (63.1%),359/645 (55.7%),458/645 (71.0%),822/1183 (69.5%),727/1183 (61.5%),820/1183 (69.3%)
Formação Florestal,1862/1873 (99.4%),1866/1873 (99.6%),1861/1873 (99.4%),3756/3786 (99.2%),3754/3786 (99.2%),3756/3786 (99.2%)
Pastagem,1263/1284 (98.4%),1272/1284 (99.1%),1266/1284 (98.6%),2434/2475 (98.3%),2443/2475 (98.7%),2434/2475 (98.3%)
Silvicultura,467/470 (99.4%),467/470 (99.4%),465/470 (98.9%),702/717 (97.9%),709/717 (98.9%),702/717 (97.9%)
Soja,714/752 (94.9%),718/752 (95.5%),701/752 (93.2%),1162/1278 (90.9%),1215/1278 (95.1%),1173/1278 (91.8%)
Recall 0,0.98,0.99,0.97,0.97,0.98,0.97
Recall 1,0.63,0.56,0.71,0.69,0.61,0.69
Precision 0,0.96,0.95,0.97,0.97,0.96,0.97
Precision 1,0.77,0.82,0.76,0.73,0.78,0.74
F1 0,0.97,0.97,0.97,0.97,0.97,0.97
F1 1,0.7,0.66,0.73,0.71,0.69,0.72
Infer Time / 1k (s),2.0599,2.0369,2.0908,2.7604,2.7154,2.7341
Peak VRAM (MB),630.11,630.11,630.11,630.66,630.11,630.11
Energy (kWh),0.003748,0.005047,0.005444,0.00587,0.003633,0.003382
Emissions (kgCO2eq),0.000369,0.000496,0.000535,0.000577,0.000357,1.3e-05
TN (True Neg),5471,5513,5446,10396,10502,10415
FP (False Pos),119,77,144,306,200,287
FN (False Neg),238,286,187,361,456,363
TP (True Pos),407,359,458,822,727,820
