Year,2023,2023,2023,2024,2024,2024
Seed,42,43,44,42,43,44
Café,349/409 (85.3%),397/409 (97.1%),396/409 (96.8%),476/506 (94.1%),430/506 (85.0%),372/506 (73.5%)
Campo Alagado,154/155 (99.4%),155/155 (100.0%),154/155 (99.4%),387/392 (98.7%),389/392 (99.2%),385/392 (98.2%)
Cana-de-açúcar,639/647 (98.8%),640/647 (98.9%),640/647 (98.9%),1508/1548 (97.4%),1505/1548 (97.2%),1452/1548 (93.8%)
Citrus,430/645 (66.7%),372/645 (57.7%),348/645 (54.0%),789/1183 (66.7%),835/1183 (70.6%),922/1183 (77.9%)
Formação Florestal,1863/1873 (99.5%),1864/1873 (99.5%),1867/1873 (99.7%),3760/3786 (99.3%),3751/3786 (99.1%),3739/3786 (98.8%)
Pastagem,1254/1284 (97.7%),1272/1284 (99.1%),1268/1284 (98.8%),2434/2475 (98.3%),2407/2475 (97.3%),2377/2475 (96.0%)
Silvicultura,465/470 (98.9%),465/470 (98.9%),466/470 (99.1%),703/717 (98.0%),698/717 (97.4%),689/717 (96.1%)
Soja,702/752 (93.4%),715/752 (95.1%),722/752 (96.0%),1179/1278 (92.3%),1168/1278 (91.4%),1056/1278 (82.6%)
Recall 0,0.97,0.99,0.99,0.98,0.97,0.94
Recall 1,0.67,0.58,0.54,0.67,0.71,0.78
Precision 0,0.96,0.95,0.95,0.96,0.97,0.97
Precision 1,0.72,0.82,0.82,0.76,0.7,0.59
F1 0,0.97,0.97,0.97,0.97,0.97,0.96
F1 1,0.69,0.68,0.65,0.71,0.7,0.67
Train Time (s),1265.8,1194.9,741.39,1142.42,964.18,613.04
Infer Time (s),3.2129,3.1512,3.1713,6.6304,6.5045,6.5129
Infer Time / 1k (s),0.5153,0.5054,0.5086,0.5579,0.5473,0.548
Peak VRAM (MB),626.87,626.87,626.87,627.52,626.87,626.87
Energy (kWh),0.006172,0.005778,0.003556,0.005592,0.004725,0.003088
Emissions (kgCO2eq),0.000607,0.000568,0.00035,0.00055,0.000465,0.000304
TN (True Neg),5426,5508,5513,10447,10348,10070
FP (False Pos),164,82,77,255,354,632
FN (False Neg),215,273,297,394,348,261
TP (True Pos),430,372,348,789,835,922
