epoch,batch_id,phase,samples
1,0,train,img_07854_p03_2019|img_07414_2021|img_03974_p03_2021|img_07698_p05_2019|img_05586_2020|img_02712_2021|img_03081_2021|img_02659_2021|img_06966_2020|img_05410_2020|img_08477_2020|img_06169_2021|img_06194_2019|img_04585_2021|img_01843_2019|img_04762_2021|img_03704_2021|img_00859_2019|img_04841_2020|img_05682_2020|img_00284_2020|img_04965_2019|img_01266_2021|img_05107_p01_2021|img_07460_2019|img_00029_2019|img_01286_2021|img_02856_p01_2019|img_01686_2019|img_04031_2020|img_08481_2019|img_00552_p01_2021|img_06905_p05_2019|img_05898_2020|img_04896_2021|img_06279_2021|img_01994_2019|img_01473_p02_2020|img_04319_2019|img_05921_2021|img_06916_2020|img_00638_p02_2020|img_01069_2019|img_00499_2021|img_04794_2019|img_04975_2020|img_07454_2020|img_01095_2021|img_05993_2019|img_08880_2021|img_07702_2021|img_06334_2020|img_02363_2019|img_07782_2021|img_02691_2021|img_00319_2019|img_07169_p04_2019|img_08515_2020|img_06199_2021|img_02894_2019|img_08660_2021|img_01020_2019|img_05405_2021|img_02991_2021|img_07440_2020|img_07080_2020|img_02265_2021|img_05009_2020|img_05302_2020|img_00331_p06_2021|img_08281_p02_2021|img_00767_2021|img_02338_p03_2021|img_05821_p57_2020|img_04947_2019|img_03062_2021|img_04178_p01_2020|img_04832_2021|img_03789_2019|img_00594_p03_2021|img_01204_2020|img_01620_2019|img_01211_2021|img_01970_2020|img_08053_2020|img_07417_2020|img_00506_2021|img_07403_p06_2019|img_02219_2021|img_02667_2021|img_04582_2019|img_04463_2021|img_01735_2019|img_08211_2020|img_01031_p09_2020|img_05687_p02_2019|img_06800_2020|img_04100_2021|img_01837_2020|img_04929_p16_2020|img_06074_p02_2020|img_08123_2021|img_03962_2020|img_06430_2020|img_08042_2020|img_04815_2019|img_08080_2021|img_03126_2021|img_04969_2019|img_07472_2021|img_07538_2021|img_04332_2019|img_05725_2019|img_00577_p18_2019|img_02307_2019|img_00384_p02_2020|img_08066_2021|img_02828_2020|img_07035_2021|img_01924_2021|img_00211_2019|img_07221_2021|img_04125_2021|img_08537_2021|img_04883_2021|img_06779_p02_2020|img_00678_2020|img_07047_2020
1,1,train,img_01760_2019|img_04142_2020|img_03413_p06_2019|img_06426_p06_2020|img_04066_2019|img_01672_2021|img_08658_2021|img_05473_2020|img_06365_2021|img_06496_2020|img_02850_2020|img_07242_2021|img_01128_2020|img_00307_p02_2019|img_00473_p04_2019|img_05927_2020|img_01324_2019|img_03051_2019|img_03300_p01_2019|img_08227_2019|img_03344_2020|img_04994_p02_2020|img_07445_2019|img_07819_2021|img_06110_2020|img_00156_p01_2019|img_04910_2020|img_03451_p02_2020|img_00727_2021|img_02145_p01_2019|img_01612_2020|img_00194_p04_2021|img_08724_2019|img_05352_2019|img_03252_2020|img_08356_2020|img_01063_2021|img_01031_p12_2020|img_06426_2019|img_07439_2020|img_04180_p01_2020|img_08542_2020|img_06981_2020|img_01335_2021|img_01181_2020|img_08648_2021|img_08719_p09_2019|img_06326_p01_2021|img_00110_2019|img_04929_p26_2020|img_00392_p02_2021|img_05042_2020|img_06090_2021|img_01892_2020|img_05406_2021|img_07205_p01_2019|img_00958_2020|img_06971_2019|img_03164_2020|img_02413_p03_2019|img_03498_p01_2019|img_00481_2021|img_00024_p01_2019|img_01435_2021|img_05363_2020|img_03910_2021|img_04189_2020|img_07812_2020|img_00254_2021|img_05961_2020|img_05009_2021|img_02528_p02_2019|img_01419_2019|img_04469_2020|img_05825_p03_2021|img_06000_2019|img_04918_2019|img_05215_p01_2021|img_03020_2019|img_06983_2019|img_00854_2021|img_08244_2019|img_00551_2021|img_02243_2019|img_00375_p04_2020|img_08430_2021|img_08394_2019|img_06322_p03_2020|img_06599_2020|img_00374_2019|img_03736_2019|img_05744_2020|img_06122_2020|img_08561_2021|img_04837_2021|img_01737_2020|img_00432_p06_2020|img_01358_p02_2019|img_00185_2020|img_01789_2019|img_00574_p19_2020|img_06205_p04_2019|img_01692_2019|img_01942_2020|img_02064_2020|img_06384_2021|img_03034_2020|img_07888_p02_2019|img_03186_2019|img_02914_2021|img_07803_2019|img_06958_2021|img_00060_2021|img_07154_2019|img_03341_p01_2019|img_02969_2019|img_04302_2020|img_04896_2019|img_00653_2020|img_01961_p19_2019|img_08310_2021|img_04417_2021|img_01717_2021|img_06493_2019|img_05285_p68_2021|img_07688_2020|img_03582_p06_2019|img_01317_p01_2021
1,2,train,img_06272_p04_2020|img_00894_2020|img_05704_2020|img_01657_2021|img_06003_2019|img_02457_2020|img_01848_2021|img_01337_2019|img_05443_2019|img_08967_2019|img_04969_2021|img_07610_p03_2019|img_07230_2021|img_04082_2021|img_00052_2020|img_04637_p01_2019|img_03224_2020|img_03973_2021|img_01168_2019|img_04167_2019|img_01820_2020|img_04893_2021|img_07503_2020|img_08504_2019|img_05687_p11_2019|img_02521_2020|img_05677_2021|img_03932_2021|img_06325_2019|img_05198_2019|img_07539_2020|img_04994_p06_2020|img_06417_2021|img_05689_2019|img_08582_p04_2019|img_08112_2021|img_04703_2020|img_08028_2021|img_00597_p04_2019|img_05638_2019|img_00818_2021|img_00177_2019|img_05821_p17_2020|img_02872_2021|img_00296_p02_2019|img_08636_p19_2019|img_07329_2020|img_02000_p01_2019|img_01083_2021|img_03704_2020|img_02402_2019|img_07161_2020|img_00146_2020|img_08390_2020|img_03677_2021|img_00661_2019|img_02222_2019|img_01674_2020|img_07624_2021|img_06825_p03_2021|img_05751_2020|img_02866_2021|img_00019_2019|img_03454_2020|img_04395_2021|img_05521_2020|img_03768_p02_2020|img_02979_2019|img_02583_2021|img_04994_p07_2020|img_08361_2020|img_02366_2021|img_00032_2020|img_03231_2020|img_03769_p02_2020|img_00298_2021|img_03232_2019|img_03778_p02_2019|img_07286_2020|img_05687_p44_2019|img_06812_p03_2019|img_00066_2021|img_05652_2021|img_02158_2019|img_03551_2019|img_02129_2020|img_02822_2019|img_07179_2020|img_03310_p03_2021|img_00644_p10_2021|img_01441_2021|img_05381_2019|img_05433_2021|img_06410_p02_2021|img_01465_2021|img_02110_2021|img_08833_2021|img_05513_2019|img_06124_2020|img_00595_2019|img_08011_2019|img_00585_p08_2021|img_01119_2020|img_07862_2019|img_04708_2020|img_00336_2020|img_01678_2019|img_07544_2021|img_03328_2019|img_02097_p01_2019|img_01494_2021|img_08913_2019|img_07302_2020|img_04058_2020|img_08550_2019|img_02034_2019|img_02890_2021|img_02049_2021|img_03628_2020|img_06819_2019|img_03004_p01_2021|img_02456_2019|img_08548_2021|img_02453_2019|img_03205_2019|img_07125_2020|img_07817_2021|img_02190_2020
1,3,train,img_00544_p01_2019|img_06423_2020|img_05214_2019|img_02079_2020|img_08318_2019|img_06140_2021|img_01551_2019|img_08422_2020|img_07032_2021|img_06356_2019|img_08585_2019|img_05529_2021|img_04146_2021|img_07672_2021|img_03920_2019|img_05909_2021|img_04606_2020|img_06478_p03_2021|img_06967_2019|img_02611_2020|img_08700_2019|img_00823_2021|img_08428_2019|img_01796_2020|img_01951_2021|img_00364_2019|img_01457_p04_2019|img_04909_2019|img_02768_p02_2020|img_00650_2019|img_08770_2021|img_06987_2020|img_04210_2019|img_07687_2020|img_05651_2021|img_01955_2021|img_05076_2019|img_02945_2019|img_08124_2020|img_04308_2021|img_02914_2019|img_05488_2020|img_00418_p02_2019|img_03593_2021|img_02183_2020|img_03102_2020|img_01355_2020|img_03815_2019|img_00394_2019|img_00602_2021|img_04282_2020|img_00817_p02_2021|img_05821_p81_2020|img_00250_2020|img_08073_2021|img_02264_2021|img_01463_p04_2019|img_03486_2021|img_03440_2020|img_03230_2021|img_06736_p02_2021|img_03937_2019|img_02026_2021|img_03252_2019|img_08285_2021|img_04804_2020|img_04361_2019|img_01038_2020|img_05525_2020|img_04481_2021|img_07620_2020|img_06925_2019|img_03631_2020|img_02470_2019|img_08520_2019|img_06700_2021|img_00514_p05_2020|img_03911_2020|img_01429_2019|img_02588_p01_2020|img_02663_2019|img_01385_p07_2021|img_01894_2019|img_03891_2019|img_04558_2020|img_07638_p02_2019|img_03654_2019|img_01802_2021|img_02241_2021|img_02805_2021|img_04768_2020|img_00588_p02_2021|img_01617_2021|img_09093_2019|img_02228_2019|img_05221_2020|img_05219_p06_2019|img_07671_2021|img_07913_2020|img_03985_2021|img_00208_2019|img_05697_2020|img_03033_2021|img_06414_2021|img_00555_2020|img_00676_2020|img_04539_2019|img_02240_2019|img_05239_p01_2020|img_02644_2021|img_06916_p01_2019|img_06916_p15_2021|img_08977_2019|img_03004_2019|img_08541_2021|img_04780_p02_2021|img_03274_2020|img_06921_2020|img_06592_2020|img_06717_p10_2020|img_00914_p02_2020|img_02183_p04_2019|img_08086_2019|img_05886_2019|img_08630_2019|img_04053_p01_2021|img_06571_2021|img_06873_2020
1,4,train,img_06716_2019|img_02066_2021|img_05775_2020|img_05037_2019|img_02908_2019|img_03217_2020|img_05119_p15_2020|img_04193_2021|img_03942_2021|img_06030_p03_2019|img_08083_2021|img_02142_2020|img_00183_2019|img_01531_2021|img_08335_2021|img_07148_p01_2019|img_03192_p01_2019|img_05551_2019|img_06080_2019|img_06963_p01_2019|img_02316_2020|img_07064_p14_2020|img_02106_2019|img_00944_2019|img_07477_2019|img_05840_p02_2021|img_07164_2019|img_03553_2020|img_03807_2020|img_06452_p09_2020|img_00077_2020|img_01223_2020|img_06812_p08_2019|img_03527_p09_2020|img_01682_p02_2020|img_08401_2019|img_07326_2019|img_01623_2021|img_06290_2021|img_05094_2021|img_01385_p02_2021|img_01588_2019|img_03808_2021|img_05157_2021|img_00868_2020|img_00491_p01_2020|img_06884_p02_2020|img_09034_2019|img_06590_2021|img_03837_2019|img_08136_p02_2019|img_01295_2019|img_06069_p04_2021|img_02165_2021|img_05672_p01_2019|img_00510_p03_2021|img_02547_2021|img_05216_p07_2019|img_00634_p17_2020|img_07386_2020|img_07143_p04_2021|img_00585_p14_2021|img_03087_2019|img_00569_2020|img_08084_2019|img_01959_2020|img_07307_2019|img_07005_2021|img_07974_2021|img_05446_2021|img_01081_2020|img_04656_2020|img_00644_p05_2021|img_05965_p04_2021|img_03684_p01_2020|img_02972_p01_2019|img_08411_2021|img_04940_2019|img_07816_2021|img_00163_p07_2020|img_01476_2020|img_01054_2020|img_04630_2021|img_04537_2020|img_04417_2020|img_04796_2021|img_01150_2019|img_01089_2019|img_05578_2020|img_01211_2020|img_02482_2021|img_02444_2020|img_02788_2021|img_03833_2021|img_04370_2019|img_03309_2021|img_00204_2020|img_01078_2021|img_06059_2020|img_03582_2020|img_05322_2019|img_05460_p05_2021|img_06784_p11_2020|img_02770_2021|img_01408_2021|img_05626_2020|img_01812_2019|img_01637_2019|img_06140_2019|img_06866_2021|img_05129_2021|img_06821_2021|img_08153_p02_2021|img_01392_2021|img_00527_p04_2020|img_08046_p05_2019|img_03879_2021|img_05078_2020|img_01175_2021|img_08662_p02_2019|img_01820_p05_2019|img_03967_2019|img_00940_2019|img_05486_2021|img_00461_p04_2021|img_06578_p08_2021|img_01185_2020|img_02407_p04_2021
1,5,train,img_01507_2020|img_08013_2021|img_04605_2021|img_09119_2019|img_05329_2020|img_07394_p01_2019|img_04058_p06_2021|img_04111_2019|img_07142_2021|img_06926_2020|img_04206_p02_2021|img_05379_2020|img_07204_p02_2020|img_02439_2019|img_01075_2019|img_03542_2021|img_07727_2020|img_06278_2019|img_01916_2020|img_03808_2019|img_00143_2021|img_07933_p05_2020|img_07793_2019|img_00639_p02_2021|img_04536_2021|img_07749_2020|img_05002_2019|img_03421_2021|img_08357_2019|img_07587_p08_2021|img_01570_2021|img_04985_2021|img_00929_2021|img_02151_2021|img_03101_p13_2019|img_06850_2020|img_08421_2019|img_08071_2020|img_06245_2019|img_07119_2021|img_06717_p14_2020|img_01638_2019|img_00985_2019|img_02892_p01_2019|img_08627_2019|img_03806_p02_2020|img_06659_p01_2020|img_06428_2020|img_02615_p01_2019|img_07450_2019|img_04766_2019|img_02846_2020|img_07587_p01_2021|img_07670_2021|img_04956_2021|img_03815_2020|img_01043_2019|img_05654_2020|img_02288_2021|img_05315_2020|img_06314_p03_2021|img_00452_2021|img_08364_2020|img_07840_2021|img_02979_2021|img_04848_p03_2020|img_06962_2019|img_00333_p01_2021|img_02848_2019|img_04672_2021|img_06930_2021|img_04364_2021|img_07416_p01_2020|img_03148_2019|img_06704_p03_2020|img_06801_2020|img_05687_p41_2019|img_00574_p01_2020|img_08162_2020|img_04006_2021|img_06189_2019|img_07299_2020|img_06905_p01_2019|img_01283_2020|img_03965_2021|img_08675_2020|img_06845_p01_2021|img_07684_2020|img_03376_2020|img_04994_p12_2020|img_06820_2021|img_04805_2021|img_07547_2020|img_02443_2021|img_04734_2020|img_00694_2019|img_07439_p17_2019|img_00188_2020|img_05842_2019|img_01708_2019|img_02832_2021|img_01651_2021|img_02068_2020|img_02492_2019|img_01532_2021|img_05685_2019|img_00706_2020|img_02777_2019|img_03692_2019|img_00457_2020|img_01340_2020|img_07610_p03_2020|img_03790_p16_2020|img_02116_2019|img_04040_2019|img_01134_2019|img_01025_2020|img_08368_2020|img_03749_2021|img_00976_p19_2019|img_04716_2020|img_07178_p06_2021|img_05448_2020|img_04490_2020|img_07232_2021|img_04538_2021|img_07324_2020|img_00385_2021
1,6,train,img_08473_p01_2019|img_04535_2019|img_04721_2021|img_01041_2020|img_01471_2021|img_05902_p02_2020|img_01352_2021|img_09054_p02_2019|img_00172_2019|img_07256_2021|img_04889_2020|img_06837_2021|img_02737_2021|img_06024_2021|img_02575_2019|img_04816_p18_2021|img_06451_2020|img_06076_2020|img_05030_2019|img_04448_2021|img_01563_p04_2019|img_04019_2020|img_02394_2021|img_00815_2021|img_00475_p07_2020|img_07293_2019|img_00433_2020|img_01378_2019|img_01779_2021|img_03708_2020|img_03591_2021|img_04356_2019|img_07054_2020|img_07272_2021|img_05332_p03_2019|img_06591_p02_2021|img_01704_p04_2019|img_06580_p04_2020|img_01205_2021|img_00402_2019|img_02231_2019|img_02169_2020|img_07396_2021|img_00227_2020|img_05640_2019|img_05255_2019|img_01031_p18_2020|img_03101_p21_2019|img_08003_p02_2021|img_01667_p02_2019|img_08018_2021|img_07566_2020|img_01004_2020|img_08113_2019|img_00766_2021|img_06904_2020|img_01736_2019|img_04994_2019|img_00165_p17_2021|img_03390_2021|img_05171_2019|img_02698_p02_2019|img_04904_2020|img_00149_2021|img_07866_2020|img_07307_2021|img_00614_p06_2020|img_03380_2020|img_06984_2021|img_04637_p03_2019|img_07492_2020|img_02930_2020|img_09026_p04_2019|img_01367_2020|img_06928_p02_2021|img_07064_p13_2020|img_00528_p03_2019|img_00243_2020|img_05890_2019|img_05061_2021|img_03351_2019|img_02761_2020|img_04149_p01_2021|img_08336_2021|img_00498_p07_2021|img_01826_p05_2020|img_02073_2019|img_01153_2020|img_06708_2021|img_03401_2019|img_08312_2020|img_06736_2020|img_06226_2021|img_02216_2021|img_08473_2020|img_02184_2019|img_05104_2019|img_03514_2020|img_05821_p83_2020|img_08396_2021|img_00585_p09_2021|img_05236_2020|img_00421_2019|img_05144_2021|img_04512_2019|img_04881_p04_2021|img_04785_2021|img_05276_2019|img_07385_2020|img_07103_p01_2019|img_01244_2021|img_05069_2019|img_02143_2020|img_07996_2020|img_04757_2019|img_00389_2019|img_06823_2019|img_04182_2021|img_08945_2019|img_06605_p05_2019|img_03004_p05_2021|img_03452_2019|img_05174_2020|img_04482_2021|img_02450_2020|img_04242_2019|img_08683_2019|img_05856_p02_2019
1,7,train,img_07336_p04_2019|img_08190_2019|img_01469_2021|img_07545_2020|img_07887_2021|img_08626_2019|img_06375_2019|img_07983_p04_2019|img_00455_2019|img_01781_2021|img_08596_2019|img_05937_2019|img_01634_2020|img_06041_2021|img_01220_p04_2021|img_03390_2019|img_04334_2019|img_03594_2019|img_06782_2019|img_06700_2020|img_05238_2020|img_08719_p03_2019|img_05398_2019|img_02765_p18_2019|img_01582_2020|img_08542_2019|img_01769_2021|img_00933_p01_2020|img_06503_2021|img_07709_2021|img_08014_2021|img_03333_2019|img_06275_2019|img_01273_2021|img_03055_2021|img_05227_2021|img_06294_2019|img_02052_2021|img_00244_2019|img_05366_p01_2020|img_07666_2020|img_06391_2019|img_02749_2019|img_05250_2021|img_08800_2021|img_06472_p03_2021|img_04574_2020|img_01870_p03_2021|img_05307_2021|img_06147_2019|img_00296_p02_2020|img_03293_p05_2019|img_06847_2021|img_00371_2020|img_06390_p02_2021|img_05893_p10_2021|img_03242_p02_2019|img_03881_2020|img_06368_p01_2020|img_02434_p01_2020|img_01450_2019|img_07396_2019|img_03070_2021|img_03501_2019|img_06467_2021|img_09061_2019|img_03515_2021|img_00635_p01_2019|img_07021_2019|img_05790_2021|img_00852_2019|img_07949_p01_2020|img_07800_2021|img_00068_2021|img_00028_p11_2021|img_08245_p01_2021|img_07072_2020|img_06211_2019|img_04139_2021|img_03668_2019|img_06213_2019|img_00326_p01_2020|img_04186_2020|img_04604_2021|img_04644_2021|img_04480_2020|img_07181_2020|img_05257_2019|img_00459_2021|img_03139_p04_2019|img_01554_2020|img_01260_p05_2020|img_08545_p01_2019|img_06363_2021|img_03057_2020|img_01013_2019|img_01155_2019|img_05893_p37_2021|img_05316_2020|img_04474_2020|img_05405_2020|img_07548_2019|img_07070_p04_2021|img_00796_2020|img_07160_p02_2019|img_01001_2019|img_04462_2020|img_03510_2020|img_05778_2020|img_02389_2021|img_07623_2021|img_07882_2021|img_02951_2021|img_07085_p02_2020|img_03198_2019|img_03566_2020|img_08111_2019|img_00752_2020|img_04992_2020|img_07827_2019|img_05611_2021|img_00258_2020|img_05210_2021|img_06231_p06_2020|img_06631_p03_2019|img_06218_p04_2019|img_07279_2021|img_04331_2020
1,8,train,img_01470_2019|img_03287_p01_2019|img_00317_2021|img_00851_p02_2019|img_07964_2021|img_02694_2021|img_07093_2019|img_09143_2019|img_06218_p15_2019|img_08219_p02_2021|img_01101_2020|img_04033_p03_2021|img_06220_2019|img_01964_2019|img_00436_2021|img_05612_p01_2021|img_03831_2019|img_02295_p02_2019|img_06818_2019|img_08469_2020|img_08521_2019|img_02872_2020|img_04633_2019|img_04324_2020|img_02436_2019|img_04067_2019|img_00500_2019|img_04854_2021|img_06507_p03_2021|img_06359_p02_2020|img_08420_2021|img_04039_2021|img_00030_p01_2020|img_04854_2019|img_05001_2021|img_03147_2020|img_03317_2019|img_06029_2020|img_05235_2019|img_03581_2021|img_07439_p12_2019|img_06275_2021|img_06822_2020|img_06916_p04_2019|img_01127_2019|img_07637_2020|img_03458_2021|img_04739_p01_2021|img_00945_p01_2020|img_01000_2020|img_04793_2020|img_00679_p01_2019|img_01337_2021|img_06517_2020|img_08691_2019|img_07143_p06_2021|img_05910_2021|img_05628_2021|img_02097_2021|img_07623_2019|img_08110_2019|img_05787_2019|img_04416_2021|img_06073_p02_2020|img_00012_p02_2021|img_00347_p02_2020|img_06170_2020|img_08179_2019|img_06902_2019|img_08642_2021|img_08636_2020|img_00156_p03_2020|img_00595_p03_2020|img_00313_2021|img_02730_2019|img_09157_2019|img_04045_p03_2020|img_08571_2019|img_05425_2019|img_00643_p02_2020|img_03791_2019|img_04118_2020|img_05843_2019|img_06385_p01_2019|img_00352_2020|img_00015_p01_2020|img_02986_2019|img_07120_2020|img_06185_p03_2020|img_06726_2021|img_08320_2020|img_07776_2021|img_03169_2021|img_03424_p03_2019|img_03685_2021|img_06642_p04_2019|img_01107_2020|img_03152_2021|img_06426_p32_2020|img_02617_2020|img_03363_2019|img_03766_2019|img_08739_2020|img_03387_2019|img_00907_2020|img_07584_2021|img_04918_2021|img_01412_2021|img_07277_2020|img_01154_2019|img_03978_2019|img_00826_2021|img_08294_2021|img_07915_2020|img_04688_p01_2021|img_00039_2020|img_00760_2021|img_05320_2019|img_07811_2021|img_07290_2021|img_07544_2019|img_04280_p02_2021|img_01599_2021|img_05600_2019|img_01415_2019|img_06291_p03_2021|img_00834_2021|img_05060_2021
1,9,train,img_04310_2021|img_01610_2019|img_06676_2021|img_06404_2020|img_04484_2019|img_02346_2020|img_06765_p02_2021|img_05285_p83_2021|img_08567_2021|img_02370_2020|img_08551_2021|img_07106_2021|img_04546_2019|img_00998_2019|img_00281_p01_2020|img_05592_2019|img_05879_2021|img_04982_p01_2020|img_02606_2019|img_08064_2020|img_06359_2019|img_04829_2020|img_04842_2019|img_07057_p02_2020|img_02484_p03_2019|img_07466_2021|img_02554_2019|img_01174_2019|img_00151_p01_2021|img_07660_2019|img_04348_2020|img_04068_p06_2020|img_03226_2020|img_02187_p12_2021|img_03384_2021|img_01076_2021|img_05631_2019|img_06696_2019|img_01622_2020|img_04161_2021|img_00281_p02_2020|img_05542_2019|img_08521_2020|img_04838_2019|img_00844_2019|img_05258_2020|img_07123_p04_2021|img_06916_p31_2021|img_01495_2021|img_08591_2021|img_07349_p03_2020|img_03211_p06_2020|img_04621_2020|img_06797_2019|img_01896_2019|img_03465_2019|img_03273_2020|img_07439_p04_2019|img_02657_2019|img_00165_2020|img_00766_2019|img_07197_2019|img_05240_2021|img_08590_2021|img_00645_2021|img_01019_p02_2021|img_02306_2020|img_03933_2019|img_03504_2021|img_02802_2021|img_00512_p09_2019|img_00941_2020|img_08890_2021|img_01655_p02_2021|img_04068_2021|img_02296_p06_2020|img_06620_2020|img_03894_2020|img_01619_p02_2020|img_04642_2021|img_06954_2020|img_06037_2020|img_01644_2019|img_00555_2019|img_08570_2019|img_01677_2021|img_03928_2021|img_08506_2019|img_06796_p01_2021|img_00561_2020|img_08453_p06_2019|img_00373_2021|img_05772_2019|img_03225_2019|img_00621_p02_2020|img_05821_p73_2020|img_00248_2019|img_01310_2019|img_02973_2021|img_00914_2019|img_03882_2021|img_02601_2020|img_03061_2020|img_07134_2020|img_06107_2019|img_06631_2020|img_03403_2019|img_00585_p18_2021|img_04898_2019|img_03419_2020|img_08423_2020|img_03398_2021|img_04717_2020|img_00799_2019|img_00000_p02_2020|img_01061_2020|img_01805_2020|img_07998_2020|img_00903_p02_2020|img_01140_2020|img_03254_2021|img_07509_p04_2019|img_08394_2021|img_07908_2020|img_02122_2020|img_06836_2021|img_00982_p04_2019|img_06388_2021
1,10,train,img_00786_2021|img_05931_2019|img_04541_2021|img_01867_2020|img_01385_p05_2021|img_05262_2020|img_04852_2021|img_06984_p03_2020|img_06778_2019|img_08636_p14_2019|img_03843_p02_2021|img_04790_2020|img_03121_2021|img_05565_2019|img_01113_2019|img_06624_p04_2020|img_05694_2021|img_05942_2020|img_08318_2020|img_07069_p01_2020|img_05235_2021|img_04595_2021|img_01037_2019|img_07402_2019|img_01652_2020|img_08687_2021|img_07525_p25_2019|img_06678_2020|img_02703_2019|img_05519_2019|img_04180_p03_2020|img_07366_2020|img_04660_2021|img_07080_2021|img_05285_p46_2021|img_00438_2020|img_07729_2019|img_05482_2019|img_06583_p01_2021|img_02279_p02_2019|img_03558_2019|img_04064_2020|img_05570_2020|img_04672_2020|img_08243_2021|img_07433_2020|img_03542_2019|img_01603_2021|img_07517_p03_2020|img_08582_p03_2019|img_02323_2021|img_08060_2020|img_00062_2020|img_09006_2019|img_02999_2019|img_05162_2021|img_04954_2020|img_03857_2020|img_04805_p01_2020|img_05163_2020|img_04516_p01_2019|img_02974_2020|img_00585_p06_2020|img_03407_2019|img_04015_2019|img_00951_2019|img_03021_2019|img_07141_2021|img_07870_2019|img_06898_2019|img_01401_2021|img_06317_2020|img_06234_2020|img_05636_2021|img_04165_2020|img_05460_p07_2021|img_00153_2021|img_00286_2021|img_01092_2019|img_01682_2021|img_06426_p28_2020|img_03997_2019|img_02314_2019|img_07065_p03_2020|img_07267_2020|img_08602_2019|img_07527_2021|img_04509_2021|img_07762_2021|img_03359_2019|img_03341_p02_2020|img_02698_p01_2019|img_07552_2020|img_06219_2021|img_05460_2019|img_04742_2020|img_03835_2019|img_01105_2019|img_06201_p03_2020|img_05504_2020|img_02818_2019|img_07975_2019|img_00847_2020|img_02674_2020|img_03496_2021|img_05086_p02_2021|img_08354_2019|img_03285_2021|img_08651_2021|img_06908_2021|img_01694_2019|img_06166_2020|img_06105_2021|img_03064_2019|img_06878_2021|img_07314_p02_2019|img_04072_2021|img_00487_2020|img_03841_2020|img_00156_2021|img_01191_2020|img_07301_p02_2021|img_02815_p02_2020|img_00866_2019|img_00822_2019|img_05119_p26_2020|img_07555_2019|img_07985_2019
