Year,2023,2023,2023,2024,2024,2024
Seed,42,43,44,42,43,44
Café,368/409 (90.0%),395/409 (96.6%),386/409 (94.4%),476/506 (94.1%),416/506 (82.2%),447/506 (88.3%)
Campo Alagado,154/155 (99.4%),154/155 (99.4%),155/155 (100.0%),391/392 (99.7%),389/392 (99.2%),392/392 (100.0%)
Cana-de-açúcar,639/647 (98.8%),644/647 (99.5%),641/647 (99.1%),1503/1548 (97.1%),1479/1548 (95.5%),1506/1548 (97.3%)
Citrus,424/645 (65.7%),353/645 (54.7%),386/645 (59.8%),737/1183 (62.3%),865/1183 (73.1%),802/1183 (67.8%)
Formação Florestal,1864/1873 (99.5%),1865/1873 (99.6%),1866/1873 (99.6%),3765/3786 (99.4%),3747/3786 (99.0%),3760/3786 (99.3%)
Pastagem,1264/1284 (98.4%),1278/1284 (99.5%),1273/1284 (99.1%),2446/2475 (98.8%),2391/2475 (96.6%),2437/2475 (98.5%)
Silvicultura,468/470 (99.6%),467/470 (99.4%),466/470 (99.1%),710/717 (99.0%),698/717 (97.4%),699/717 (97.5%)
Soja,710/752 (94.4%),728/752 (96.8%),721/752 (95.9%),1203/1278 (94.1%),1095/1278 (85.7%),1178/1278 (92.2%)
Recall 0,0.98,0.99,0.99,0.98,0.95,0.97
Recall 1,0.66,0.55,0.6,0.62,0.73,0.68
Precision 0,0.96,0.95,0.96,0.96,0.97,0.96
Precision 1,0.78,0.86,0.82,0.78,0.64,0.74
F1 0,0.97,0.97,0.97,0.97,0.96,0.97
F1 1,0.71,0.67,0.69,0.69,0.68,0.71
Train Time (s),1349.09,1661.11,1267.69,1614.37,1357.07,900.49
Infer Time (s)Infer Time / 1k (s),,,,,,
Peak VRAM (MB),1190.11,1190.11,1190.11,1190.11,1190.11,1190.11
Energy (kWh),0.007006,0.010999,0.006069,0.008078,0.006747,0.004648
Emissions (kgCO2eq),0.000689,0.001082,0.000597,0.000794,0.000664,0.000457
TN (True Neg),5467,5531,5508,10494,10215,10419
FP (False Pos),123,59,82,208,487,283
FN (False Neg),221,292,259,446,318,381
TP (True Pos),424,353,386,737,865,802
