Year,2023,2023,2023,2024,2024,2024
Seed,42,43,44,42,43,44
Café,313/409 (76.5%),330/409 (80.7%),365/409 (89.2%),398/506 (78.7%),445/506 (87.9%),363/506 (71.7%)
Campo Alagado,150/155 (96.8%),145/155 (93.5%),147/155 (94.8%),343/392 (87.5%),366/392 (93.4%),364/392 (92.9%)
Cana-de-açúcar,628/647 (97.1%),628/647 (97.1%),635/647 (98.1%),1461/1548 (94.4%),1501/1548 (97.0%),1466/1548 (94.7%)
Citrus,345/645 (53.5%),303/645 (47.0%),255/645 (39.5%),810/1183 (68.5%),732/1183 (61.9%),815/1183 (68.9%)
Formação Florestal,1835/1873 (98.0%),1840/1873 (98.2%),1851/1873 (98.8%),3559/3786 (94.0%),3679/3786 (97.2%),3653/3786 (96.5%)
Pastagem,1250/1284 (97.4%),1262/1284 (98.3%),1265/1284 (98.5%),2375/2475 (96.0%),2438/2475 (98.5%),2406/2475 (97.2%)
Silvicultura,458/470 (97.4%),461/470 (98.1%),462/470 (98.3%),676/717 (94.3%),696/717 (97.1%),684/717 (95.4%)
Soja,711/752 (94.5%),714/752 (94.9%),726/752 (96.5%),1154/1278 (90.3%),1198/1278 (93.7%),1154/1278 (90.3%)
Recall 0,0.96,0.96,0.98,0.93,0.96,0.94
Recall 1,0.53,0.47,0.4,0.68,0.62,0.69
Precision 0,0.95,0.94,0.93,0.96,0.96,0.96
Precision 1,0.58,0.59,0.65,0.52,0.66,0.57
F1 0,0.95,0.95,0.95,0.95,0.96,0.95
F1 1,0.56,0.52,0.49,0.59,0.64,0.62
Train Time (s),2026.86,2057.78,1227.82,1089.63,1961.03,1982.68
Infer Time (s),3.0841,3.0687,2.9466,6.4156,6.6064,6.4754
Infer Time / 1k (s),0.4946,0.4922,0.4726,0.5398,0.5559,0.5448
Peak VRAM (MB),1085.59,1083.59,1085.59,1085.59,1083.59,1083.59
Energy (kWh),0.009291,0.009379,0.005589,0.005097,0.009237,0.00914
Emissions (kgCO2eq),0.000914,0.000922,0.00055,0.000501,0.000908,0.000899
TN (True Neg),5345,5380,5451,9966,10323,10090
FP (False Pos),245,210,139,736,379,612
FN (False Neg),300,342,390,373,451,368
TP (True Pos),345,303,255,810,732,815
