epoch,batch_id,phase,samples
1,0,train,img_06518_2019|img_02851_p02_2020|img_03550_2021|img_00640_2020|img_06592_p04_2021|img_00024_p09_2019|img_07253_2021|img_06628_2021|img_07046_2020|img_02583_2020|img_02138_p03_2021|img_06701_2020|img_02508_2019|img_00351_p01_2021|img_00577_p16_2019|img_06668_2020|img_03211_p06_2020|img_06910_2021|img_05969_2020|img_04449_2021|img_02123_2019|img_06876_p04_2021|img_06666_p02_2020|img_04418_2021|img_00353_p01_2021|img_04917_2021|img_08653_p03_2019|img_04001_2019|img_00125_p02_2021|img_02585_2020|img_09040_2019|img_05741_2021|img_06483_2019|img_00778_2020|img_03980_2021|img_03650_2019|img_03667_2019|img_00473_p03_2019|img_06717_p02_2021|img_05920_2019|img_01126_p01_2020|img_00624_2020|img_02867_2019|img_01402_2020|img_02317_2020|img_00254_2019|img_06859_2020|img_06021_2021|img_07211_2020|img_04125_2021|img_02140_p01_2021|img_06897_p04_2020|img_01714_2020|img_06897_2021|img_05359_p01_2021|img_02423_2021|img_02492_2020|img_01520_2021|img_06302_2019|img_08470_2021|img_09078_2019|img_00807_2019|img_04630_2020|img_05482_2019|img_05681_2021|img_05285_p20_2021|img_00033_2021|img_03850_p01_2021|img_05227_2021|img_01961_p14_2019|img_07831_2019|img_07542_p02_2019|img_06638_p05_2019|img_05584_2021|img_05727_2020|img_05632_p02_2021|img_04314_2020|img_08550_2020|img_08246_2021|img_08264_2020|img_05417_2020|img_06189_2021|img_00165_p03_2021|img_00546_2021|img_07059_p02_2020|img_02804_2020|img_06821_p09_2019|img_04201_2020|img_00486_p07_2019|img_00388_2020|img_04691_2019|img_02988_p02_2020|img_05603_2020|img_06669_2021|img_07894_p02_2019|img_00805_2021|img_01005_2021|img_06988_2020|img_03762_2019|img_05090_p01_2019|img_01851_2019|img_06157_2020|img_01713_2020|img_08189_2019|img_08343_2019|img_03411_2021|img_00677_2021|img_00857_2020|img_06204_2020|img_00595_p01_2020|img_07150_2019|img_06313_p04_2020|img_04034_2020|img_08853_2019|img_00247_2019|img_04888_p01_2020|img_08418_2020|img_01390_2020|img_02654_p01_2019|img_02434_p02_2020|img_01604_2020|img_04724_2021|img_02023_p02_2021|img_01683_2019|img_04388_2020|img_01427_2020|img_02406_2019|img_01378_2019
1,1,train,img_08180_2020|img_00892_p04_2020|img_00329_p01_2020|img_06477_2021|img_07233_2020|img_03766_2020|img_04182_2021|img_08486_2019|img_01961_p08_2019|img_07231_p01_2021|img_01794_2021|img_04082_2020|img_06725_2021|img_06457_2021|img_07375_2019|img_07141_2019|img_03629_2020|img_06412_2021|img_07590_p03_2019|img_05908_p01_2020|img_08777_2021|img_02497_2021|img_03960_p01_2020|img_01862_2021|img_04621_2019|img_08302_2020|img_04232_2021|img_02543_2019|img_04766_2020|img_06935_2019|img_06488_2021|img_02522_p02_2019|img_06718_2020|img_01178_2019|img_04158_2021|img_00860_2021|img_08359_2020|img_02992_2021|img_06322_p02_2020|img_04319_2019|img_04929_p06_2020|img_07933_2019|img_06046_2021|img_02641_2021|img_00692_2021|img_02765_2021|img_07601_2021|img_05997_2021|img_04010_2019|img_01486_2021|img_04150_2020|img_05424_2021|img_01638_2021|img_07447_p03_2021|img_03144_p09_2021|img_06433_2020|img_06519_2021|img_06837_2021|img_08636_p12_2019|img_05936_2020|img_04431_2019|img_01628_p03_2020|img_04929_p11_2020|img_00956_2021|img_04929_p53_2020|img_01001_2020|img_04546_2020|img_00577_p20_2019|img_07416_p02_2020|img_02404_p03_2020|img_06528_p02_2020|img_04386_2020|img_04418_2019|img_01882_2019|img_06070_2021|img_06030_p04_2019|img_04929_p07_2020|img_02121_p03_2019|img_07939_2019|img_00723_2021|img_00377_2021|img_02593_2019|img_07306_2020|img_03667_p01_2021|img_00461_p01_2020|img_06743_p02_2019|img_07648_2021|img_03833_2020|img_06622_2020|img_04615_2020|img_05261_2020|img_00842_p01_2021|img_05533_2019|img_07177_2019|img_07069_2019|img_04571_2019|img_03204_2020|img_07372_p01_2021|img_03101_p24_2019|img_05690_p02_2020|img_02222_2019|img_06906_2020|img_06515_p01_2020|img_06591_p01_2020|img_01827_2021|img_08902_2019|img_06239_2019|img_01630_2019|img_05119_p21_2020|img_05160_2019|img_01301_2019|img_00485_p02_2020|img_03771_2021|img_05398_2021|img_00563_2019|img_06592_p01_2021|img_00258_2020|img_08510_2020|img_05391_p04_2019|img_01951_2021|img_02799_2020|img_01196_2019|img_07489_2020|img_00104_p10_2021|img_03394_2019|img_07090_2019|img_01314_2019|img_06750_2021
1,2,train,img_06727_2020|img_04062_2021|img_01010_2020|img_08210_2020|img_02126_2020|img_03045_2020|img_05434_2021|img_01003_p09_2019|img_04689_2020|img_03238_2020|img_05648_2020|img_05082_2020|img_01824_2020|img_00041_2021|img_02807_2021|img_03131_2020|img_03225_2020|img_07159_p08_2021|img_05745_2021|img_03394_2020|img_06788_2020|img_04428_2021|img_00388_2019|img_06883_p02_2021|img_08414_2019|img_00999_2021|img_02568_p04_2019|img_08164_2020|img_07672_2021|img_06461_2021|img_07081_2020|img_05423_2020|img_02505_2020|img_06072_2020|img_00506_p01_2019|img_01386_p01_2021|img_06810_p04_2021|img_03165_2019|img_05738_2021|img_04540_2020|img_02069_2021|img_00408_p05_2019|img_07670_2021|img_06506_2021|img_02003_2020|img_02613_2020|img_01711_2020|img_02048_2021|img_05893_p39_2021|img_01789_2020|img_00015_p03_2020|img_07893_2019|img_06723_p12_2019|img_00083_2020|img_05893_p29_2021|img_02800_2020|img_06027_2020|img_02991_2020|img_07873_p02_2019|img_04512_2021|img_06974_2021|img_08123_2020|img_01958_2020|img_06102_2021|img_06368_p05_2021|img_06109_2019|img_01458_2019|img_01549_2021|img_07240_p04_2019|img_00134_p02_2020|img_03514_2020|img_06053_p01_2020|img_00108_2021|img_00691_2019|img_05354_2021|img_02583_2019|img_03372_2019|img_03025_2020|img_04329_2020|img_01767_2021|img_00523_2019|img_05400_2019|img_08679_2020|img_08324_2021|img_08988_2019|img_00810_2021|img_00420_2019|img_05568_p02_2020|img_02706_p01_2021|img_00336_2020|img_04448_2021|img_00014_p03_2019|img_04244_2021|img_07607_p02_2019|img_05687_p03_2019|img_05090_p10_2019|img_04671_2020|img_06067_2020|img_02541_2021|img_06556_2020|img_02597_2021|img_05690_2019|img_06969_2021|img_07705_2021|img_03200_2021|img_02960_2020|img_02451_2021|img_03824_2021|img_03130_p22_2021|img_03087_2019|img_05144_2019|img_06881_2021|img_00217_2021|img_01418_2021|img_02947_2019|img_07416_p03_2020|img_06048_2021|img_06845_p02_2021|img_03631_2019|img_06058_2019|img_07789_p03_2019|img_00784_2019|img_00789_2021|img_06787_p02_2021|img_00216_p02_2019|img_00893_2019|img_02145_p01_2019|img_00184_2021
1,3,train,img_02032_2021|img_00083_2019|img_04475_2020|img_04325_2021|img_04601_2020|img_06008_p04_2021|img_07378_2021|img_06970_p03_2021|img_04810_p01_2019|img_00655_2020|img_08089_2020|img_07161_2020|img_02990_2019|img_03048_2019|img_06155_2021|img_04375_2019|img_06116_2019|img_03809_2019|img_02290_2020|img_07053_2019|img_05560_2019|img_08697_2021|img_00221_p02_2019|img_05944_2020|img_05900_2019|img_06784_p08_2020|img_08265_p01_2021|img_00202_2021|img_08293_2021|img_04436_p01_2020|img_05119_p33_2020|img_06021_2019|img_08471_2019|img_02439_2019|img_03850_2020|img_04322_2019|img_02058_p18_2021|img_01977_2020|img_07606_2021|img_05268_2019|img_00045_2021|img_08395_2021|img_06711_2019|img_04509_2021|img_07729_p02_2021|img_06554_p01_2021|img_05435_p17_2021|img_00644_p04_2021|img_06880_p04_2020|img_04766_2019|img_07326_2019|img_06217_2021|img_05802_2021|img_03747_2019|img_01329_2019|img_03923_p04_2021|img_01239_2021|img_01146_2020|img_02140_p08_2021|img_00527_p05_2021|img_00976_p22_2019|img_05017_2019|img_04982_p04_2020|img_02860_2021|img_05005_2020|img_00149_p02_2020|img_00067_2020|img_03001_2021|img_00043_2020|img_02850_2019|img_06358_p04_2021|img_06344_p02_2020|img_02877_2020|img_03333_2020|img_00933_p04_2020|img_00423_2020|img_03838_2019|img_07039_2021|img_05893_p22_2021|img_00762_2020|img_08137_p02_2020|img_00300_2020|img_05701_2019|img_02195_2019|img_07626_2020|img_00323_2021|img_04377_2020|img_04185_2021|img_05609_2020|img_00432_p06_2020|img_05425_2021|img_08715_2020|img_01146_p02_2019|img_04626_2020|img_02968_2019|img_05484_p04_2019|img_05357_2021|img_03529_p17_2020|img_00797_2020|img_00563_2021|img_05435_p05_2021|img_04346_2020|img_00688_2019|img_04943_2020|img_03527_p05_2020|img_01670_2021|img_06502_2021|img_08257_2019|img_00385_2021|img_06947_p01_2020|img_05113_2021|img_07804_p01_2019|img_07136_2021|img_02363_2020|img_01267_2019|img_05807_2019|img_08029_2020|img_00734_p04_2019|img_03030_2021|img_02631_2019|img_05574_2019|img_07473_2020|img_03963_2019|img_07514_2020|img_03577_2020|img_02216_2019|img_05331_2021|img_00012_p02_2021
1,4,train,img_00800_2019|img_07070_p04_2021|img_01335_p04_2020|img_08270_2020|img_01649_2021|img_03202_2021|img_06225_2019|img_04318_2019|img_02187_p21_2021|img_06047_2021|img_08522_p02_2021|img_08316_2021|img_04827_2019|img_00417_2019|img_02982_2021|img_03852_p18_2019|img_07315_2021|img_06972_2019|img_06063_2019|img_04143_2019|img_08819_2021|img_00444_p03_2021|img_04643_2019|img_06919_2020|img_00349_2019|img_08107_2020|img_06579_2021|img_06291_p09_2021|img_01754_2021|img_08441_2019|img_07888_p02_2019|img_08190_2021|img_00644_p03_2021|img_05596_2019|img_03808_2021|img_00176_2021|img_06028_p05_2021|img_05821_p43_2020|img_07850_p01_2020|img_06655_2021|img_02752_2019|img_03660_p04_2020|img_07719_2019|img_02845_2021|img_05076_2021|img_08166_2019|img_06292_2021|img_06816_p08_2020|img_05140_2021|img_04503_2019|img_04523_2020|img_01099_2019|img_03169_2020|img_00572_2019|img_00872_2021|img_06916_p05_2019|img_00633_2019|img_04816_p20_2021|img_08470_2020|img_04201_2021|img_06823_2021|img_05858_2021|img_00418_p02_2020|img_06989_2021|img_06155_2020|img_00715_2020|img_08641_p02_2019|img_04282_2019|img_01020_2020|img_04000_2021|img_07656_2021|img_01599_2020|img_04605_2020|img_05728_2020|img_02281_2019|img_03805_2019|img_02952_2021|img_02649_p01_2021|img_03340_2021|img_05151_2020|img_03729_2019|img_00333_p02_2021|img_05047_2020|img_00107_2021|img_05346_2021|img_00512_p06_2019|img_06764_p04_2020|img_03139_2020|img_02754_p01_2021|img_00509_2019|img_08584_2019|img_01268_2020|img_04121_p01_2021|img_02681_2019|img_03087_2020|img_03068_2020|img_06596_2020|img_06775_2020|img_05709_2019|img_03640_2021|img_01885_2020|img_06782_2020|img_02835_2020|img_04761_2021|img_00240_p02_2020|img_04980_p02_2021|img_02482_2019|img_06812_p03_2019|img_03799_2019|img_04837_p01_2020|img_08118_2020|img_00409_2020|img_03566_2021|img_06494_2021|img_02699_2019|img_07934_2019|img_01557_2020|img_01530_p01_2020|img_06298_p02_2020|img_06787_p06_2021|img_07332_2019|img_03997_2021|img_06578_p10_2021|img_02469_p02_2020|img_00330_2020|img_02953_2021|img_05544_2019|img_06511_2020
1,5,train,img_07861_p02_2021|img_07063_2020|img_02197_2019|img_05219_2021|img_02408_p01_2021|img_04522_2020|img_07089_2020|img_05142_2019|img_02524_2019|img_00571_2019|img_04749_2019|img_05459_2019|img_05938_2021|img_02628_2020|img_01897_p11_2019|img_07743_2019|img_03402_p01_2020|img_06116_2021|img_06072_2019|img_05088_2021|img_06403_p01_2020|img_00638_p02_2020|img_03615_p02_2020|img_08090_2020|img_01647_2019|img_04315_2020|img_01647_2021|img_04372_2019|img_04643_2020|img_01563_2020|img_03819_2021|img_01743_2019|img_08237_2020|img_00565_2020|img_08154_2019|img_05999_p02_2019|img_08063_2021|img_08336_2020|img_07752_2020|img_06098_2021|img_02460_2021|img_07815_2020|img_05942_2019|img_07458_2020|img_07406_p01_2021|img_07348_2020|img_02154_2020|img_06368_2019|img_03031_2021|img_00111_2021|img_02455_2019|img_02302_p01_2020|img_01025_2021|img_03213_p04_2019|img_00306_2020|img_03062_2021|img_06067_2021|img_00827_p01_2020|img_06744_2020|img_00431_2021|img_03594_p02_2020|img_07231_2019|img_04554_2021|img_02272_2021|img_05252_2021|img_01741_2019|img_06109_p04_2020|img_06768_2020|img_03413_p03_2019|img_08444_p02_2019|img_05753_2019|img_03164_2020|img_04205_2021|img_08129_2021|img_05689_2020|img_03849_2021|img_07215_2019|img_05690_p01_2020|img_06931_2019|img_07058_2019|img_02499_2020|img_03528_p03_2019|img_03972_2019|img_05298_p02_2020|img_04986_2020|img_06746_p07_2019|img_06499_2021|img_04972_2020|img_05004_p02_2021|img_08136_p04_2019|img_07685_2021|img_06580_p04_2020|img_03102_p06_2021|img_00014_p01_2019|img_02042_p01_2020|img_07618_2020|img_00773_2019|img_08539_p02_2019|img_02760_2019|img_03358_2020|img_01942_p04_2019|img_02262_2019|img_00432_p03_2020|img_00765_2021|img_07997_2019|img_08919_2019|img_07901_2020|img_04539_2019|img_02274_2021|img_06631_p05_2019|img_02946_2020|img_02565_2021|img_02645_2019|img_08729_2020|img_09105_2019|img_06748_p02_2021|img_01823_2020|img_06592_2020|img_03622_2020|img_08046_2020|img_03957_2021|img_08254_p01_2021|img_01945_2020|img_02639_2020|img_07959_p02_2019|img_03476_2021|img_05084_p09_2020|img_03449_2020
1,6,train,img_02770_2019|img_01961_2020|img_01541_2019|img_00161_2021|img_04122_2020|img_04866_2020|img_04094_2019|img_08046_p02_2019|img_06137_2020|img_04861_2021|img_00976_p11_2019|img_06191_p04_2021|img_06585_p01_2021|img_05181_2020|img_00247_2021|img_03199_2019|img_03627_2021|img_06039_2020|img_08778_2019|img_01525_2019|img_01419_2021|img_03502_2021|img_07172_2019|img_07625_2020|img_00167_2020|img_01870_2020|img_05028_2020|img_05119_p16_2020|img_06680_2020|img_00506_2020|img_01112_2019|img_00249_2019|img_03358_2021|img_06605_2021|img_07165_p02_2020|img_07251_2021|img_04248_2021|img_01711_2019|img_03005_2020|img_08392_2020|img_04885_2021|img_01979_2020|img_04831_2019|img_04994_2019|img_06883_p03_2021|img_04659_2020|img_01287_2020|img_00058_2021|img_08502_2019|img_02376_2021|img_01667_p05_2019|img_04920_p01_2020|img_04006_2021|img_03303_2021|img_06916_p23_2021|img_01954_2019|img_05001_2020|img_01304_2021|img_05145_2020|img_03320_2021|img_02486_2019|img_00212_p01_2020|img_04759_2019|img_02434_p01_2020|img_06723_p06_2019|img_04441_2020|img_03030_2019|img_04499_2020|img_02546_2019|img_05720_2021|img_05888_2019|img_06605_p08_2019|img_00927_p02_2019|img_06055_2021|img_00257_2021|img_08572_2021|img_00710_2021|img_05107_p04_2021|img_00692_p01_2019|img_04163_2019|img_05204_2021|img_02121_p17_2019|img_08006_2020|img_07900_2021|img_07569_2019|img_07525_p34_2019|img_01033_2021|img_03845_2020|img_02081_2021|img_01066_2019|img_08900_2019|img_01166_2020|img_07447_p04_2021|img_06306_2021|img_08398_2019|img_00595_p03_2021|img_03907_2021|img_08237_p03_2021|img_02243_2020|img_00352_2019|img_06126_2019|img_08763_2019|img_06218_p17_2019|img_00574_2019|img_04957_2020|img_00976_p19_2019|img_05070_2021|img_02287_2019|img_04978_p01_2019|img_04926_2021|img_00614_p05_2020|img_01425_2019|img_03165_2020|img_04960_2021|img_05617_2021|img_03054_2019|img_00623_p01_2021|img_04736_2020|img_01275_2020|img_06185_p01_2020|img_06693_2020|img_05539_2021|img_07823_2020|img_08670_2021|img_01966_2021|img_07529_2020|img_00219_p01_2020|img_01122_2019
1,7,train,img_08561_2020|img_05718_2021|img_04459_2021|img_00527_p07_2021|img_06939_2020|img_04159_2021|img_07952_2021|img_01483_2020|img_06842_p03_2021|img_01054_2020|img_00759_2020|img_03968_2021|img_00155_2021|img_03879_2019|img_05530_2020|img_03095_2021|img_08398_2021|img_06348_p02_2020|img_05308_p01_2020|img_04357_2021|img_01872_2021|img_03546_2019|img_04893_p03_2020|img_05634_2019|img_00755_p01_2019|img_00611_2019|img_05031_2019|img_07538_p03_2020|img_00644_p17_2021|img_00006_2021|img_03153_2019|img_05740_2021|img_08439_2019|img_06715_p03_2020|img_02360_2019|img_06350_2020|img_00952_2020|img_03540_2021|img_05285_p19_2021|img_05262_2020|img_04708_2020|img_01825_p03_2020|img_05699_2019|img_03526_2019|img_01206_2021|img_02180_2020|img_01017_2019|img_08453_2021|img_03226_2021|img_02949_2021|img_02102_p01_2021|img_08579_2021|img_04290_2021|img_00305_2021|img_02834_2021|img_03390_2021|img_00021_2021|img_02497_2019|img_02599_2019|img_00076_2019|img_04740_2019|img_01622_2021|img_06428_2021|img_06170_2019|img_01123_2020|img_00958_2021|img_04161_2020|img_05511_2019|img_05273_2019|img_03171_2019|img_09067_2019|img_06591_p01_2021|img_02438_2020|img_00654_2019|img_04445_2020|img_03354_2020|img_00285_2019|img_01834_p02_2020|img_03662_2019|img_06113_2021|img_07182_2021|img_02604_2021|img_06110_2020|img_03619_2021|img_07622_2019|img_07232_2020|img_07391_2020|img_05683_2020|img_03521_2021|img_05642_2019|img_02519_2021|img_04017_2019|img_00684_p06_2021|img_06265_2020|img_04747_2021|img_07840_p02_2020|img_07683_2019|img_05679_2020|img_00338_2020|img_06516_p06_2020|img_03934_2021|img_05933_2021|img_04265_2021|img_06037_2019|img_04496_2021|img_03497_2019|img_06824_2020|img_07632_2019|img_00607_2020|img_08291_2019|img_05120_2020|img_06766_p01_2020|img_00706_2021|img_06112_2019|img_05510_2021|img_01317_2019|img_06883_p01_2021|img_04998_2020|img_07490_2019|img_08527_2021|img_00532_2020|img_06842_p04_2021|img_08353_2020|img_08765_2021|img_05255_2021|img_00896_2021|img_04743_2021|img_06168_2019
1,8,train,img_03462_2020|img_06089_2021|img_05826_2019|img_03270_2020|img_03370_2021|img_01676_2020|img_03454_2020|img_04929_p01_2020|img_05668_2020|img_05099_2020|img_08939_2019|img_02052_2019|img_03144_p05_2021|img_01976_2019|img_01215_2019|img_00161_2020|img_06103_2021|img_00183_2019|img_03276_2019|img_02487_2020|img_06646_p03_2020|img_07630_2021|img_04978_p06_2019|img_07687_2020|img_03315_2019|img_00024_p22_2019|img_00570_2020|img_07566_2021|img_07362_2021|img_00000_p04_2021|img_04832_2020|img_01854_p01_2019|img_06198_2019|img_01933_2020|img_08037_2021|img_04669_2020|img_07409_2019|img_02181_2021|img_07235_2020|img_00638_2021|img_07386_2019|img_00851_2021|img_03197_2021|img_07318_p02_2021|img_01973_2020|img_08203_2019|img_02391_2021|img_02015_2019|img_07247_2021|img_02918_p04_2021|img_03355_2020|img_02232_2020|img_00822_2021|img_01500_2019|img_04728_2019|img_04323_2021|img_04896_2021|img_00292_2020|img_08459_2021|img_05190_2021|img_08459_p04_2019|img_03468_2020|img_02399_2021|img_07976_2021|img_06741_p06_2019|img_07519_2021|img_03553_2020|img_07737_2021|img_01232_2019|img_00014_p01_2020|img_02952_2020|img_02506_2019|img_02245_2020|img_07726_2019|img_08240_2020|img_06526_2019|img_00587_2020|img_04211_2021|img_00756_2021|img_06023_2020|img_06256_2020|img_00253_2019|img_07786_2020|img_01596_2020|img_02899_p01_2019|img_00197_2019|img_02511_2020|img_07509_2021|img_02374_2019|img_07896_p04_2019|img_01698_2019|img_00957_p05_2021|img_06618_2020|img_07439_p04_2019|img_07841_2020|img_07637_2021|img_03336_2019|img_00980_p01_2021|img_01188_2021|img_04496_2020|img_04032_2019|img_03664_2020|img_06605_p06_2019|img_07513_2021|img_07550_p02_2019|img_05494_2021|img_04461_2019|img_04916_p02_2021|img_03094_2021|img_06828_2019|img_00408_2021|img_05592_2020|img_00212_p02_2019|img_02213_2020|img_05057_2021|img_08789_2021|img_01860_2020|img_01223_2019|img_08328_2021|img_07493_2019|img_06358_p03_2021|img_05213_2021|img_04295_2019|img_05285_p07_2021|img_07765_2019|img_00485_p05_2021|img_04840_2021|img_08100_p01_2020
1,9,train,img_02205_2021|img_05160_2020|img_06118_2021|img_05794_2019|img_08324_2019|img_07868_2020|img_03158_2019|img_07550_p07_2019|img_08185_2019|img_07659_2020|img_08369_2019|img_08208_2021|img_00337_2021|img_00466_2020|img_00386_2020|img_06647_2019|img_03995_2020|img_07154_2021|img_06318_2020|img_03781_2021|img_08999_2019|img_00488_2019|img_03980_2019|img_06992_p04_2020|img_00259_2019|img_07954_p03_2020|img_06553_p02_2019|img_06358_p02_2021|img_00460_p04_2020|img_00280_2021|img_03641_2021|img_07513_2019|img_01790_2019|img_04492_2021|img_00703_2019|img_06963_p03_2019|img_02765_2020|img_04788_2021|img_01082_2020|img_08298_2021|img_02463_2020|img_02228_2021|img_07149_p02_2021|img_05821_p33_2020|img_01717_2020|img_09107_2019|img_00225_2019|img_05884_2021|img_04698_2019|img_04854_2019|img_00140_2020|img_06588_p03_2020|img_05563_2021|img_00113_2020|img_02187_p30_2021|img_08226_2021|img_02231_2020|img_03660_p03_2020|img_04399_2020|img_07679_2021|img_07609_2021|img_00874_2020|img_04579_2020|img_01934_2020|img_08500_2021|img_01386_p06_2019|img_08361_2020|img_02793_2019|img_07950_2019|img_06646_p01_2021|img_04436_2019|img_07128_p03_2019|img_00163_p15_2020|img_05142_2021|img_05167_2019|img_06429_2020|img_02617_2019|img_07164_2021|img_06780_2021|img_02044_2019|img_00019_2019|img_05808_2019|img_03937_2021|img_05880_2020|img_03724_2021|img_01766_2020|img_04890_p01_2020|img_06224_2021|img_05568_p05_2021|img_00046_2021|img_05844_2019|img_06159_2019|img_01804_p02_2021|img_00477_2021|img_02252_2020|img_00173_2021|img_04049_2020|img_01597_2020|img_03184_2021|img_01961_p09_2019|img_03499_2019|img_00819_2020|img_07748_2019|img_00061_2019|img_00629_2020|img_06368_p01_2020|img_06165_p01_2020|img_01312_2019|img_00651_2021|img_08534_2020|img_05645_2019|img_04285_2019|img_05893_p45_2021|img_06704_2019|img_03882_2019|img_06338_p02_2021|img_06405_2020|img_01806_p02_2021|img_04648_2021|img_08732_2019|img_06430_2019|img_04491_2021|img_02231_2021|img_03567_2020|img_08714_2021|img_03848_p02_2021|img_04097_2019|img_05164_p01_2021
1,10,train,img_02335_2021|img_07442_2020|img_00296_p02_2019|img_00048_p02_2020|img_03152_2019|img_00235_2020|img_00688_p02_2020|img_05463_p03_2020|img_04929_p15_2020|img_02348_2019|img_01582_2021|img_04343_2020|img_00671_2020|img_01664_2021|img_04415_2019|img_07766_2020|img_01800_2021|img_00504_p02_2020|img_07539_2021|img_06746_2021|img_05013_2021|img_05525_2021|img_07520_p02_2019|img_08923_2019|img_08796_2021|img_06553_p10_2019|img_05635_p02_2019|img_06124_2020|img_00555_2019|img_00114_2019|img_03146_2021|img_06426_p04_2020|img_03614_2020|img_04755_2019|img_01023_2019|img_03445_2021|img_00221_p01_2019|img_06988_2021|img_00585_p18_2021|img_09093_2019|img_01265_p03_2020|img_05764_2021|img_04003_2019|img_05479_2020|img_05125_2020|img_03831_2021|img_06900_p02_2021|img_01203_2019|img_07930_2021|img_02337_2021|img_03790_2019|img_00366_2021|img_08102_2020|img_06883_2019|img_00771_2021|img_07090_2020|img_07115_2021|img_06544_2020|img_08541_2020|img_02836_2019|img_08024_2019|img_07076_2019|img_01417_2021|img_01010_2021|img_00451_2019|img_00587_2021|img_02677_2019|img_05721_2020|img_03303_p01_2020|img_00059_2020|img_05982_p02_2020|img_07130_2019|img_02887_2020|img_08875_2021|img_05300_2021|img_08696_2021|img_01720_2019|img_08799_2021|img_03699_2019|img_00212_p01_2019|img_04606_2021|img_01358_p03_2019|img_07437_2019|img_02638_p02_2020|img_07649_p02_2019|img_00696_2019|img_00563_2020|img_06031_p04_2021|img_06170_2021|img_00218_2020|img_04362_2020|img_03378_2020|img_07923_2021|img_07255_2021|img_06796_2020|img_05111_2020|img_05049_2021|img_08197_2021|img_06107_2019|img_08106_2021|img_07336_p04_2019|img_07625_p02_2021|img_07801_2019|img_07933_2021|img_07037_2020|img_03870_2021|img_07459_2019|img_00054_2021|img_07820_p01_2021|img_06449_2019|img_02186_p03_2019|img_00649_2021|img_08248_2021|img_05893_p56_2021|img_04739_p02_2021|img_03832_2021|img_06916_p27_2021|img_02048_2019|img_06553_p11_2019|img_03926_2021|img_03876_p04_2020|img_05893_p13_2021|img_07054_2021|img_01831_p01_2021|img_07251_p02_2019|img_07186_2019|img_03843_p04_2021|img_08824_2021
