Year,2023,2023,2023,2024,2024,2024
Seed,42,43,44,42,43,44
Café,347/409 (84.8%),368/409 (90.0%),357/409 (87.3%),397/506 (78.5%),416/506 (82.2%),413/506 (81.6%)
Campo Alagado,153/155 (98.7%),153/155 (98.7%),154/155 (99.4%),387/392 (98.7%),389/392 (99.2%),391/392 (99.7%)
Cana-de-açúcar,632/647 (97.7%),638/647 (98.6%),634/647 (98.0%),1502/1548 (97.0%),1504/1548 (97.2%),1514/1548 (97.8%)
Citrus,433/645 (67.1%),383/645 (59.4%),393/645 (60.9%),829/1183 (70.1%),827/1183 (69.9%),799/1183 (67.5%)
Formação Florestal,1861/1873 (99.4%),1863/1873 (99.5%),1858/1873 (99.2%),3742/3786 (98.8%),3740/3786 (98.8%),3746/3786 (98.9%)
Pastagem,1255/1284 (97.7%),1264/1284 (98.4%),1258/1284 (98.0%),2421/2475 (97.8%),2419/2475 (97.7%),2434/2475 (98.3%)
Silvicultura,466/470 (99.1%),468/470 (99.6%),467/470 (99.4%),701/717 (97.8%),702/717 (97.9%),702/717 (97.9%)
Soja,689/752 (91.6%),705/752 (93.8%),701/752 (93.2%),1159/1278 (90.7%),1170/1278 (91.5%),1179/1278 (92.3%)
Recall 0,0.97,0.98,0.97,0.96,0.97,0.97
Recall 1,0.67,0.59,0.61,0.7,0.7,0.68
Precision 0,0.96,0.95,0.96,0.97,0.97,0.96
Precision 1,0.7,0.75,0.71,0.68,0.7,0.71
F1 0,0.96,0.97,0.96,0.97,0.97,0.97
F1 1,0.68,0.66,0.66,0.69,0.7,0.69
Infer Time / 1k (s),2.4751,2.1896,2.3027,2.679,2.6906,2.715
Peak VRAM (MB),635.19,635.19,634.69,636.19,634.69,635.19
Energy (kWh),0.006391,0.007355,0.003865,0.003477,0.006016,0.003104
Emissions (kgCO2eq),0.000628,0.000723,0.00038,0.000342,0.000592,0.000305
TN (True Neg),5403,5459,5429,10309,10340,10379
FP (False Pos),187,131,161,393,362,323
FN (False Neg),212,262,252,354,356,384
TP (True Pos),433,383,393,829,827,799
