Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,308/409 (75.3%),347/409 (84.8%),285/409 (69.7%),272/409 (66.5%),321/506 (63.4%),275/506 (54.3%),282/506 (55.7%),238/506 (47.0%)
Campo Alagado,133/155 (85.8%),142/155 (91.6%),130/155 (83.9%),127/155 (81.9%),311/392 (79.3%),299/392 (76.3%),291/392 (74.2%),280/392 (71.4%)
Cana-de-açúcar,602/647 (93.0%),612/647 (94.6%),584/647 (90.3%),573/647 (88.6%),1410/1548 (91.1%),1376/1548 (88.9%),1370/1548 (88.5%),1339/1548 (86.5%)
Citrus,402/645 (62.3%),344/645 (53.3%),434/645 (67.3%),455/645 (70.5%),869/1183 (73.5%),905/1183 (76.5%),917/1183 (77.5%),958/1183 (81.0%)
Formação Florestal,1794/1873 (95.8%),1837/1873 (98.1%),1795/1873 (95.8%),1783/1873 (95.2%),3548/3786 (93.7%),3495/3786 (92.3%),3475/3786 (91.8%),3417/3786 (90.3%)
Pastagem,1203/1284 (93.7%),1235/1284 (96.2%),1170/1284 (91.1%),1139/1284 (88.7%),2249/2475 (90.9%),2174/2475 (87.8%),2132/2475 (86.1%),2071/2475 (83.7%)
Silvicultura,439/470 (93.4%),450/470 (95.7%),442/470 (94.0%),431/470 (91.7%),657/717 (91.6%),649/717 (90.5%),645/717 (90.0%),632/717 (88.1%)
Soja,665/752 (88.4%),684/752 (91.0%),640/752 (85.1%),599/752 (79.7%),1038/1278 (81.2%),981/1278 (76.8%),975/1278 (76.3%),906/1278 (70.9%)
Recall 0,0.92,0.95,0.9,0.88,0.89,0.86,0.86,0.83
Recall 1,0.62,0.53,0.67,0.71,0.73,0.77,0.78,0.81
Precision 0,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.98
Precision 1,0.47,0.55,0.44,0.41,0.43,0.38,0.37,0.34
