Feature,Importance
B4_median,0.07499163
B8_median,0.060792293
B3_mean,0.040663194
B4_mean,0.036310136
B11_std,0.027309468
B12_mean,0.02312772
B7_min,0.021686472
B3_min,0.020512108
B12_slope_down,0.019220643
B3_median,0.018415505
B8A_min,0.016529173
B12_slope_up,0.015707519
B6_std,0.014438203
B5_std,0.0137271425
B4_std,0.013657026
B8_min,0.013547934
B12_argmax,0.013100966
B12_median,0.013096925
B4_argmax,0.012897698
B5_min,0.012542294
B8_argmax,0.012488659
B12_max,0.011667472
B8_mean,0.010979196
B11_min,0.010934912
B4_amplitude,0.010926337
B12_std,0.010771258
B11_amplitude,0.010122862
B8_max,0.0099075325
B8_std,0.009250002
B8_slope_down,0.00917021
B5_median,0.008845701
B2_std,0.008813403
B2_slope_up,0.008787775
B5_mean,0.008737364
B11_argmax,0.0087197665
B3_slope_up,0.0085812295
B2_min,0.008533946
B6_argmax,0.008491978
B12_amplitude,0.008382691
B8A_std,0.00829464
B11_max,0.00798368
B8A_slope_down,0.007945178
B2_mean,0.007872147
B3_argmax,0.007862288
B5_argmax,0.0077547817
B6_slope_up,0.0077490956
B2_median,0.0077455984
B7_std,0.0077190152
B4_min,0.007481634
B3_max,0.0074521853
B8A_max,0.007413243
B11_median,0.0073568667
B3_slope_down,0.0073503368
B7_argmax,0.007126069
B7_max,0.0070711537
B12_min,0.0069808643
B5_slope_down,0.00694944
B8_amplitude,0.0068959286
B6_mean,0.0068459404
B4_slope_up,0.00684536
B7_slope_down,0.0068329745
B4_max,0.006699013
B3_std,0.0066757426
B11_mean,0.00666798
B6_slope_down,0.006475633
B7_slope_up,0.0064724707
B6_amplitude,0.006464898
B6_min,0.006438412
B5_max,0.0063870773
B8A_argmax,0.006364858
B5_amplitude,0.006289721
B2_slope_down,0.006168011
B11_slope_down,0.006082475
B8_slope_up,0.006079364
B6_median,0.005959142
B6_max,0.0058697253
B3_amplitude,0.0058508907
B2_amplitude,0.005824374
B2_argmax,0.0057281707
B4_slope_down,0.005653817
B7_median,0.0056075533
B5_slope_up,0.0055786297
B7_amplitude,0.0055536646
B11_slope_up,0.005443811
B8A_median,0.0053516873
B8A_slope_up,0.0052355197
B7_mean,0.005176038
B2_max,0.005069921
B8A_mean,0.0045816973
B8A_amplitude,0.0043350128
