Feature,Importance
EVI_median,0.07391106
EVI_min,0.05242301
B12_mean,0.050702356
NDMI_std,0.04431214
B3_mean,0.033987105
B3_min,0.030380223
B12_slope_up,0.017018793
B4_median,0.015172325
B11_std,0.015141297
NDVI_median,0.014188449
B3_median,0.012755294
B7_min,0.010908703
B12_median,0.010684406
NDMI_slope_down,0.010350523
NDMI_min,0.010328764
NDMI_slope_up,0.0098958025
EVI_slope_down,0.00974884
NDVI_std,0.009563533
B8_argmax,0.0093712
EVI_max,0.00922997
B12_argmax,0.008903958
B6_std,0.00875081
NDTI_median,0.008685438
B5_min,0.008599443
B6_median,0.008131389
NDVI_slope_down,0.008080825
B11_argmax,0.007915055
B7_median,0.0078965
B8_min,0.007760738
NDRE_max,0.007598628
B12_max,0.007435313
NDTI_min,0.007434505
B12_amplitude,0.00742061
NDTI_mean,0.007317641
B11_amplitude,0.0072760647
B3_slope_up,0.007259731
EVI_slope_up,0.0070537985
B8_median,0.007024689
B12_min,0.0069746696
NDMI_mean,0.0068247924
NDRE_median,0.006527183
NDRE_amplitude,0.006366602
B11_mean,0.0061813854
B2_max,0.0060338667
B12_slope_down,0.005998178
B5_std,0.0059722005
B4_mean,0.0055632764
NDRE_slope_down,0.0055109467
NDTI_std,0.005499483
NDVI_max,0.005346937
B11_median,0.0053104996
NDRE_argmax,0.0052823173
B2_slope_down,0.005229986
NDRE_min,0.005188468
B11_max,0.0051800497
B2_std,0.0051653995
B8A_mean,0.0050970693
B8A_std,0.005052875
NDRE_mean,0.004999459
EVI_std,0.004990646
B7_amplitude,0.004985619
EVI_mean,0.0049417033
B8_std,0.0049089342
B5_median,0.0048552603
B7_slope_up,0.004762724
B5_slope_up,0.004707508
B8A_median,0.004695131
B7_mean,0.004659942
NDRE_std,0.004570863
B8_mean,0.0045670876
B2_median,0.0045339903
NDTI_max,0.004527777
B3_slope_down,0.0044863834
NDMI_amplitude,0.0044633234
B11_slope_up,0.004441177
B2_mean,0.004392439
B4_argmax,0.0043907696
B2_amplitude,0.004381528
B4_min,0.004368853
B8A_amplitude,0.0043073716
NDMI_argmax,0.0042936946
B8_slope_down,0.0042757345
NDVI_min,0.004251697
B8_amplitude,0.004217167
B6_argmax,0.004201542
B12_std,0.0041889525
B7_std,0.0041877264
B2_min,0.004184458
NDVI_slope_up,0.0041011893
NDMI_median,0.004094786
B6_slope_up,0.004080036
B8A_slope_up,0.004046648
B11_min,0.0040043658
B5_argmax,0.0039629503
NDMI_max,0.0039602825
B4_slope_down,0.003947654
B8_slope_up,0.003920081
NDTI_argmax,0.00391224
B2_slope_up,0.0038866012
NDVI_argmax,0.0038784975
B5_mean,0.0038240957
B5_max,0.0038118681
B5_slope_down,0.0037552286
B4_slope_up,0.0037269418
B3_max,0.0037059353
B6_amplitude,0.0036787451
B8A_min,0.0036662822
B4_amplitude,0.0036423462
B11_slope_down,0.0036380875
B8_max,0.0036289296
B3_amplitude,0.0035734507
NDTI_amplitude,0.0035664537
B7_max,0.0035451152
B2_argmax,0.003512482
B4_std,0.0034208128
NDTI_slope_down,0.003418883
EVI_argmax,0.00330498
NDVI_mean,0.003293795
NDVI_amplitude,0.0032584055
B6_slope_down,0.0032165926
B8A_argmax,0.003181676
NDRE_slope_up,0.0031178426
NDTI_slope_up,0.0030744872
B4_max,0.0030341693
B8A_slope_down,0.002950317
B3_std,0.0029210947
B5_amplitude,0.002851122
B7_argmax,0.0028300288
B6_max,0.0026601613
B3_argmax,0.0025123714
B7_slope_down,0.0024345778
B6_mean,0.002393173
B6_min,0.0022923606
B8A_max,0.0021463893
EVI_amplitude,0.001950812
