Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,376/409 (91.9%),392/409 (95.8%),368/409 (90.0%),393/409 (96.1%),449/506 (88.7%),452/506 (89.3%),451/506 (89.1%),460/506 (90.9%)
Campo Alagado,154/155 (99.4%),155/155 (100.0%),155/155 (100.0%),154/155 (99.4%),389/392 (99.2%),389/392 (99.2%),391/392 (99.7%),391/392 (99.7%)
Cana-de-açúcar,640/647 (98.9%),642/647 (99.2%),631/647 (97.5%),642/647 (99.2%),1502/1548 (97.0%),1508/1548 (97.4%),1511/1548 (97.6%),1519/1548 (98.1%)
Citrus,405/645 (62.8%),368/645 (57.1%),448/645 (69.5%),390/645 (60.5%),821/1183 (69.4%),784/1183 (66.3%),819/1183 (69.2%),748/1183 (63.2%)
Formação Florestal,1863/1873 (99.5%),1864/1873 (99.5%),1861/1873 (99.4%),1866/1873 (99.6%),3757/3786 (99.2%),3758/3786 (99.3%),3756/3786 (99.2%),3759/3786 (99.3%)
Pastagem,1268/1284 (98.8%),1272/1284 (99.1%),1267/1284 (98.7%),1273/1284 (99.1%),2434/2475 (98.3%),2432/2475 (98.3%),2435/2475 (98.4%),2443/2475 (98.7%)
Silvicultura,468/470 (99.6%),467/470 (99.4%),465/470 (98.9%),466/470 (99.1%),702/717 (97.9%),704/717 (98.2%),703/717 (98.0%),706/717 (98.5%)
Soja,716/752 (95.2%),718/752 (95.5%),703/752 (93.5%),719/752 (95.6%),1162/1278 (90.9%),1178/1278 (92.2%),1173/1278 (91.8%),1202/1278 (94.1%)
Recall 0,0.98,0.99,0.97,0.99,0.97,0.97,0.97,0.98
Recall 1,0.63,0.57,0.69,0.6,0.69,0.66,0.69,0.63
Precision 0,0.96,0.95,0.97,0.96,0.97,0.96,0.97,0.96
Precision 1,0.79,0.82,0.76,0.84,0.73,0.74,0.74,0.77
