Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,338/409 (82.6%),399/409 (97.6%),384/409 (93.9%),404/409 (98.8%),456/506 (90.1%),430/506 (85.0%),395/506 (78.1%),460/506 (90.9%)
Campo Alagado,154/155 (99.4%),155/155 (100.0%),154/155 (99.4%),155/155 (100.0%),387/392 (98.7%),388/392 (99.0%),386/392 (98.5%),391/392 (99.7%)
Cana-de-açúcar,637/647 (98.5%),643/647 (99.4%),637/647 (98.5%),641/647 (99.1%),1500/1548 (96.9%),1505/1548 (97.2%),1468/1548 (94.8%),1502/1548 (97.0%)
Citrus,450/645 (69.8%),326/645 (50.5%),377/645 (58.4%),317/645 (49.1%),831/1183 (70.2%),841/1183 (71.1%),901/1183 (76.2%),813/1183 (68.7%)
Formação Florestal,1861/1873 (99.4%),1865/1873 (99.6%),1867/1873 (99.7%),1867/1873 (99.7%),3752/3786 (99.1%),3751/3786 (99.1%),3747/3786 (99.0%),3762/3786 (99.4%)
Pastagem,1251/1284 (97.4%),1276/1284 (99.4%),1260/1284 (98.1%),1274/1284 (99.2%),2413/2475 (97.5%),2408/2475 (97.3%),2390/2475 (96.6%),2424/2475 (97.9%)
Silvicultura,465/470 (98.9%),467/470 (99.4%),466/470 (99.1%),467/470 (99.4%),699/717 (97.5%),698/717 (97.4%),690/717 (96.2%),696/717 (97.1%)
Soja,696/752 (92.6%),720/752 (95.7%),713/752 (94.8%),721/752 (95.9%),1156/1278 (90.5%),1165/1278 (91.2%),1090/1278 (85.3%),1153/1278 (90.2%)
Recall 0,0.97,0.99,0.98,0.99,0.97,0.97,0.95,0.97
Recall 1,0.7,0.51,0.58,0.49,0.7,0.71,0.76,0.69
Precision 0,0.97,0.95,0.95,0.94,0.97,0.97,0.97,0.97
Precision 1,0.71,0.83,0.78,0.84,0.71,0.7,0.63,0.72
Train Time (s),1036.31,947.59,582.06,934.93,1041.57,824.34,535.74,614.59
Infer Time (s),10.8528,10.2748,10.3872,11.0946,34.1267,34.9505,34.8391,33.0424
Peak VRAM (MB),626.87,626.87,626.87,625.87,627.52,626.87,626.87,626.87
TN (True Neg),5402,5525,5481,5529,10363,10345,10166,10388
FP (False Pos),188,65,109,61,339,357,536,314
FN (False Neg),195,319,268,328,352,342,282,370
TP (True Pos),450,326,377,317,831,841,901,813
