Year,2023,2023,2023,2023
Seed,42,43,44,45
Café,363/409 (88.8%),383/409 (93.6%),380/409 (92.9%),388/409 (94.9%)
Campo Alagado,155/155 (100.0%),155/155 (100.0%),155/155 (100.0%),155/155 (100.0%)
Cana-de-açúcar,638/647 (98.6%),640/647 (98.9%),639/647 (98.8%),640/647 (98.9%)
Citrus,426/645 (66.0%),398/645 (61.7%),397/645 (61.6%),359/645 (55.7%)
Formação Florestal,1863/1873 (99.5%),1862/1873 (99.4%),1865/1873 (99.6%),1866/1873 (99.6%)
Pastagem,1261/1284 (98.2%),1268/1284 (98.8%),1269/1284 (98.8%),1275/1284 (99.3%)
Silvicultura,468/470 (99.6%),467/470 (99.4%),465/470 (98.9%),466/470 (99.1%)
Soja,708/752 (94.1%),709/752 (94.3%),715/752 (95.1%),723/752 (96.1%)
Recall 0,0.98,0.98,0.98,0.99
Recall 1,0.66,0.62,0.62,0.56
Precision 0,0.96,0.96,0.96,0.95
Precision 1,0.76,0.79,0.8,0.82
Train Time (s),1291.78,1588.56,1203.42,1059.6
Infer Time (s),18.2282,17.729,17.4267,18.2956
Peak VRAM (MB),1190.11,1190.11,1190.11,1190.11
TN (True Neg),5456,5484,5488,5513
FP (False Pos),134,106,102,77
FN (False Neg),219,247,248,286
TP (True Pos),426,398,397,359
