Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,359/409 (87.8%),363/409 (88.8%),393/409 (96.1%),402/409 (98.3%),430/506 (85.0%),467/506 (92.3%),437/506 (86.4%),450/506 (88.9%)
Campo Alagado,154/155 (99.4%),155/155 (100.0%),155/155 (100.0%),155/155 (100.0%),389/392 (99.2%),390/392 (99.5%),391/392 (99.7%),389/392 (99.2%)
Cana-de-açúcar,639/647 (98.8%),639/647 (98.8%),642/647 (99.2%),645/647 (99.7%),1493/1548 (96.4%),1521/1548 (98.3%),1509/1548 (97.5%),1518/1548 (98.1%)
Citrus,425/645 (65.9%),413/645 (64.0%),383/645 (59.4%),326/645 (50.5%),884/1183 (74.7%),747/1183 (63.1%),823/1183 (69.6%),746/1183 (63.1%)
Formação Florestal,1862/1873 (99.4%),1861/1873 (99.4%),1867/1873 (99.7%),1868/1873 (99.7%),3757/3786 (99.2%),3761/3786 (99.3%),3765/3786 (99.4%),3762/3786 (99.4%)
Pastagem,1256/1284 (97.8%),1262/1284 (98.3%),1272/1284 (99.1%),1280/1284 (99.7%),2405/2475 (97.2%),2439/2475 (98.5%),2429/2475 (98.1%),2444/2475 (98.7%)
Silvicultura,467/470 (99.4%),467/470 (99.4%),467/470 (99.4%),468/470 (99.6%),700/717 (97.6%),707/717 (98.6%),698/717 (97.4%),708/717 (98.7%)
Soja,700/752 (93.1%),706/752 (93.9%),720/752 (95.7%),732/752 (97.3%),1145/1278 (89.6%),1203/1278 (94.1%),1163/1278 (91.0%),1204/1278 (94.2%)
Recall 0,0.97,0.98,0.99,0.99,0.96,0.98,0.97,0.98
Recall 1,0.66,0.64,0.59,0.51,0.75,0.63,0.7,0.63
Precision 0,0.96,0.96,0.95,0.95,0.97,0.96,0.97,0.96
Precision 1,0.74,0.75,0.84,0.89,0.7,0.78,0.73,0.77
Train Time (s),660.21,682.39,737.77,672.97,1093.85,576.87,434.75,509.19
Infer Time (s),5.9375,5.6907,4.9099,6.6408,33.7825,31.238,31.2529,31.151
Peak VRAM (MB),349.61,349.61,349.61,349.61,349.61,349.61,349.61,349.61
TN (True Neg),5437,5453,5516,5550,10319,10488,10392,10475
FP (False Pos),153,137,74,40,383,214,310,227
FN (False Neg),220,232,262,319,299,436,360,437
TP (True Pos),425,413,383,326,884,747,823,746
