Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,221/409 (54.0%),307/409 (75.1%),299/409 (73.1%),258/409 (63.1%),345/506 (68.2%),336/506 (66.4%),379/506 (74.9%),288/506 (56.9%)
Campo Alagado,150/155 (96.8%),150/155 (96.8%),153/155 (98.7%),151/155 (97.4%),384/392 (98.0%),387/392 (98.7%),384/392 (98.0%),382/392 (97.4%)
Cana-de-açúcar,592/647 (91.5%),627/647 (96.9%),615/647 (95.1%),584/647 (90.3%),1424/1548 (92.0%),1400/1548 (90.4%),1467/1548 (94.8%),1450/1548 (93.7%)
Citrus,554/645 (85.9%),510/645 (79.1%),541/645 (83.9%),554/645 (85.9%),990/1183 (83.7%),976/1183 (82.5%),967/1183 (81.7%),964/1183 (81.5%)
Formação Florestal,1838/1873 (98.1%),1851/1873 (98.8%),1852/1873 (98.9%),1836/1873 (98.0%),3723/3786 (98.3%),3735/3786 (98.7%),3729/3786 (98.5%),3706/3786 (97.9%)
Pastagem,1191/1284 (92.8%),1239/1284 (96.5%),1239/1284 (96.5%),1214/1284 (94.5%),2355/2475 (95.2%),2346/2475 (94.8%),2365/2475 (95.6%),2345/2475 (94.7%)
Silvicultura,455/470 (96.8%),456/470 (97.0%),455/470 (96.8%),454/470 (96.6%),688/717 (96.0%),687/717 (95.8%),687/717 (95.8%),686/717 (95.7%)
Soja,598/752 (79.5%),651/752 (86.6%),622/752 (82.7%),585/752 (77.8%),1010/1278 (79.0%),961/1278 (75.2%),1076/1278 (84.2%),1062/1278 (83.1%)
Recall 0,0.9,0.94,0.94,0.91,0.93,0.92,0.94,0.93
Recall 1,0.86,0.79,0.84,0.86,0.84,0.83,0.82,0.81
Precision 0,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
Precision 1,0.5,0.62,0.6,0.52,0.56,0.53,0.61,0.55
Train Time (s),601.66,810.41,868.01,865.12,908.44,552.86,506.99,671.44
Infer Time (s),12.3542,12.6906,11.9536,12.1484,32.9168,34.3744,34.2573,34.8573
Peak VRAM (MB),630.11,630.11,630.11,629.11,630.66,630.11,630.11,630.11
TN (True Neg),5045,5281,5235,5082,9929,9852,10087,9919
FP (False Pos),545,309,355,508,773,850,615,783
FN (False Neg),91,135,104,91,193,207,216,219
TP (True Pos),554,510,541,554,990,976,967,964
