Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,347/409 (84.8%),385/409 (94.1%),369/409 (90.2%),399/409 (97.6%),455/506 (89.9%),444/506 (87.7%),461/506 (91.1%),463/506 (91.5%)
Campo Alagado,155/155 (100.0%),154/155 (99.4%),155/155 (100.0%),154/155 (99.4%),388/392 (99.0%),389/392 (99.2%),390/392 (99.5%),391/392 (99.7%)
Cana-de-açúcar,633/647 (97.8%),639/647 (98.8%),637/647 (98.5%),641/647 (99.1%),1494/1548 (96.5%),1507/1548 (97.4%),1511/1548 (97.6%),1514/1548 (97.8%)
Citrus,430/645 (66.7%),375/645 (58.1%),447/645 (69.3%),351/645 (54.4%),824/1183 (69.7%),785/1183 (66.4%),795/1183 (67.2%),751/1183 (63.5%)
Formação Florestal,1859/1873 (99.3%),1861/1873 (99.4%),1859/1873 (99.3%),1865/1873 (99.6%),3757/3786 (99.2%),3755/3786 (99.2%),3755/3786 (99.2%),3760/3786 (99.3%)
Pastagem,1255/1284 (97.7%),1271/1284 (99.0%),1270/1284 (98.9%),1278/1284 (99.5%),2437/2475 (98.5%),2427/2475 (98.1%),2447/2475 (98.9%),2438/2475 (98.5%)
Silvicultura,467/470 (99.4%),467/470 (99.4%),465/470 (98.9%),466/470 (99.1%),705/717 (98.3%),704/717 (98.2%),706/717 (98.5%),707/717 (98.6%)
Soja,706/752 (93.9%),718/752 (95.5%),699/752 (93.0%),724/752 (96.3%),1155/1278 (90.4%),1178/1278 (92.2%),1191/1278 (93.2%),1208/1278 (94.5%)
Recall 0,0.97,0.98,0.98,0.99,0.97,0.97,0.98,0.98
Recall 1,0.67,0.58,0.69,0.54,0.7,0.66,0.67,0.63
Precision 0,0.96,0.95,0.96,0.95,0.97,0.96,0.96,0.96
Precision 1,0.72,0.8,0.77,0.85,0.73,0.72,0.77,0.77
Train Time (s),604.74,777.55,833.46,819.61,938.77,562.97,511.43,675.81
Infer Time (s),3.129,3.0451,3.1008,3.2269,6.4567,6.7919,6.7468,6.7805
Peak VRAM (MB),630.11,630.11,630.11,629.11,630.66,630.11,630.11,630.11
TN (True Neg),5422,5495,5454,5527,10391,10404,10461,10481
FP (False Pos),168,95,136,63,311,298,241,221
FN (False Neg),215,270,198,294,359,398,388,432
TP (True Pos),430,375,447,351,824,785,795,751
