Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,199/409 (48.7%),239/409 (58.4%),384/409 (93.9%),381/409 (93.2%),250/506 (49.4%),470/506 (92.9%),423/506 (83.6%),463/506 (91.5%)
Campo Alagado,70/155 (45.2%),72/155 (46.5%),116/155 (74.8%),118/155 (76.1%),169/392 (43.1%),350/392 (89.3%),319/392 (81.4%),283/392 (72.2%)
Cana-de-açúcar,189/647 (29.2%),203/647 (31.4%),621/647 (96.0%),619/647 (95.7%),438/1548 (28.3%),1485/1548 (95.9%),1205/1548 (77.8%),1199/1548 (77.5%)
Citrus,480/645 (74.4%),425/645 (65.9%),207/645 (32.1%),212/645 (32.9%),948/1183 (80.1%),549/1183 (46.4%),294/1183 (24.9%),587/1183 (49.6%)
Formação Florestal,887/1873 (47.4%),1030/1873 (55.0%),1766/1873 (94.3%),1800/1873 (96.1%),1933/3786 (51.1%),3644/3786 (96.2%),3593/3786 (94.9%),3623/3786 (95.7%)
Pastagem,593/1284 (46.2%),687/1284 (53.5%),1252/1284 (97.5%),1250/1284 (97.4%),1145/2475 (46.3%),2428/2475 (98.1%),1933/2475 (78.1%),2173/2475 (87.8%)
Silvicultura,190/470 (40.4%),228/470 (48.5%),456/470 (97.0%),452/470 (96.2%),264/717 (36.8%),695/717 (96.9%),622/717 (86.8%),625/717 (87.2%)
Soja,289/752 (38.4%),328/752 (43.6%),702/752 (93.4%),706/752 (93.9%),419/1278 (32.8%),1181/1278 (92.4%),1014/1278 (79.3%),778/1278 (60.9%)
Recall 0,0.43,0.5,0.95,0.95,0.43,0.96,0.85,0.85
Recall 1,0.74,0.66,0.32,0.33,0.8,0.46,0.25,0.5
Precision 0,0.94,0.93,0.92,0.92,0.95,0.94,0.91,0.94
Precision 1,0.13,0.13,0.41,0.45,0.13,0.55,0.16,0.27
Train Time (s),434.19,570.75,1568.51,1535.35,323.87,1462.67,910.69,686.09
Infer Time (s),6.5907,5.6584,5.471,7.4361,33.4789,32.4501,32.4992,32.8622
Peak VRAM (MB),762.24,762.24,762.24,762.24,763.24,762.24,762.24,762.24
TN (True Neg),2417,2787,5297,5326,4618,10253,9109,9144
FP (False Pos),3173,2803,293,264,6084,449,1593,1558
FN (False Neg),165,220,438,433,235,634,889,596
TP (True Pos),480,425,207,212,948,549,294,587
