Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,346/409 (84.6%),383/409 (93.6%),364/409 (89.0%),381/409 (93.2%),388/506 (76.7%),390/506 (77.1%),434/506 (85.8%),405/506 (80.0%)
Campo Alagado,153/155 (98.7%),153/155 (98.7%),154/155 (99.4%),152/155 (98.1%),386/392 (98.5%),389/392 (99.2%),391/392 (99.7%),379/392 (96.7%)
Cana-de-açúcar,630/647 (97.4%),641/647 (99.1%),637/647 (98.5%),641/647 (99.1%),1498/1548 (96.8%),1485/1548 (95.9%),1517/1548 (98.0%),1499/1548 (96.8%)
Citrus,443/645 (68.7%),311/645 (48.2%),379/645 (58.8%),360/645 (55.8%),853/1183 (72.1%),878/1183 (74.2%),775/1183 (65.5%),865/1183 (73.1%)
Formação Florestal,1857/1873 (99.1%),1865/1873 (99.6%),1859/1873 (99.3%),1863/1873 (99.5%),3739/3786 (98.8%),3728/3786 (98.5%),3753/3786 (99.1%),3730/3786 (98.5%)
Pastagem,1251/1284 (97.4%),1272/1284 (99.1%),1258/1284 (98.0%),1265/1284 (98.5%),2411/2475 (97.4%),2402/2475 (97.1%),2444/2475 (98.7%),2426/2475 (98.0%)
Silvicultura,466/470 (99.1%),467/470 (99.4%),468/470 (99.6%),467/470 (99.4%),700/717 (97.6%),701/717 (97.8%),704/717 (98.2%),697/717 (97.2%)
Soja,683/752 (90.8%),717/752 (95.3%),702/752 (93.4%),713/752 (94.8%),1143/1278 (89.4%),1149/1278 (89.9%),1198/1278 (93.7%),1167/1278 (91.3%)
Recall 0,0.96,0.98,0.97,0.98,0.96,0.96,0.98,0.96
Recall 1,0.69,0.48,0.59,0.56,0.72,0.74,0.66,0.73
Precision 0,0.96,0.94,0.95,0.95,0.97,0.97,0.96,0.97
Precision 1,0.68,0.77,0.72,0.77,0.66,0.66,0.75,0.68
Train Time (s),1001.87,693.09,525.07,1005.43,540.36,944.42,473.87,801.8
Infer Time (s),9.2172,6.1335,6.2855,5.4268,32.5039,32.651,32.6847,32.6478
Peak VRAM (MB),635.69,635.69,635.69,634.19,636.19,634.69,635.19,635.19
TN (True Neg),5386,5498,5442,5482,10265,10244,10441,10303
FP (False Pos),204,92,148,108,437,458,261,399
FN (False Neg),202,334,266,285,330,305,408,318
TP (True Pos),443,311,379,360,853,878,775,865
