Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,360/409 (88.0%),353/409 (86.3%),356/409 (87.0%),353/409 (86.3%),392/506 (77.5%),308/506 (60.9%),356/506 (70.4%),396/506 (78.3%)
Campo Alagado,139/155 (89.7%),142/155 (91.6%),145/155 (93.5%),139/155 (89.7%),313/392 (79.8%),284/392 (72.4%),300/392 (76.5%),319/392 (81.4%)
Cana-de-açúcar,630/647 (97.4%),630/647 (97.4%),631/647 (97.5%),630/647 (97.4%),1493/1548 (96.4%),1449/1548 (93.6%),1471/1548 (95.0%),1493/1548 (96.4%)
Citrus,227/645 (35.2%),233/645 (36.1%),217/645 (33.6%),237/645 (36.7%),701/1183 (59.3%),799/1183 (67.5%),757/1183 (64.0%),697/1183 (58.9%)
Formação Florestal,1845/1873 (98.5%),1847/1873 (98.6%),1850/1873 (98.8%),1847/1873 (98.6%),3653/3786 (96.5%),3581/3786 (94.6%),3615/3786 (95.5%),3660/3786 (96.7%)
Pastagem,1255/1284 (97.7%),1258/1284 (98.0%),1260/1284 (98.1%),1253/1284 (97.6%),2297/2475 (92.8%),2201/2475 (88.9%),2243/2475 (90.6%),2312/2475 (93.4%)
Silvicultura,460/470 (97.9%),458/470 (97.4%),460/470 (97.9%),459/470 (97.7%),675/717 (94.1%),660/717 (92.1%),666/717 (92.9%),675/717 (94.1%)
Soja,730/752 (97.1%),728/752 (96.8%),734/752 (97.6%),727/752 (96.7%),1179/1278 (92.3%),1108/1278 (86.7%),1141/1278 (89.3%),1174/1278 (91.9%)
Recall 0,0.97,0.97,0.97,0.97,0.93,0.9,0.91,0.94
Recall 1,0.35,0.36,0.34,0.37,0.59,0.68,0.64,0.59
Precision 0,0.93,0.93,0.93,0.93,0.95,0.96,0.96,0.95
Precision 1,0.57,0.57,0.58,0.57,0.5,0.42,0.45,0.51
Train Time (s),9.86,9.36,9.68,10.23,9.23,8.82,9.36,9.03
Infer Time (s),0.0736,0.0738,0.084,0.074,0.0848,0.095,0.0948,0.095
Peak Mem (MB),28.04,29.75,29.45,29.65,28.11,28.56,26.99,28.13
