Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,354/409 (86.6%),360/409 (88.0%),367/409 (89.7%),376/409 (91.9%),396/506 (78.3%),422/506 (83.4%),436/506 (86.2%),426/506 (84.2%)
Campo Alagado,148/155 (95.5%),152/155 (98.1%),153/155 (98.7%),154/155 (99.4%),333/392 (84.9%),346/392 (88.3%),353/392 (90.1%),346/392 (88.3%)
Cana-de-açúcar,626/647 (96.8%),628/647 (97.1%),633/647 (97.8%),638/647 (98.6%),1484/1548 (95.9%),1499/1548 (96.8%),1502/1548 (97.0%),1502/1548 (97.0%)
Citrus,318/645 (49.3%),292/645 (45.3%),299/645 (46.4%),266/645 (41.2%),779/1183 (65.8%),732/1183 (61.9%),711/1183 (60.1%),705/1183 (59.6%)
Formação Florestal,1849/1873 (98.7%),1859/1873 (99.3%),1857/1873 (99.1%),1860/1873 (99.3%),3668/3786 (96.9%),3694/3786 (97.6%),3705/3786 (97.9%),3705/3786 (97.9%)
Pastagem,1249/1284 (97.3%),1261/1284 (98.2%),1256/1284 (97.8%),1262/1284 (98.3%),2335/2475 (94.3%),2374/2475 (95.9%),2397/2475 (96.8%),2388/2475 (96.5%)
Silvicultura,460/470 (97.9%),462/470 (98.3%),463/470 (98.5%),463/470 (98.5%),677/717 (94.4%),683/717 (95.3%),692/717 (96.5%),687/717 (95.8%)
Soja,715/752 (95.1%),726/752 (96.5%),720/752 (95.7%),728/752 (96.8%),1151/1278 (90.1%),1178/1278 (92.2%),1189/1278 (93.0%),1188/1278 (93.0%)
Recall 0,0.97,0.97,0.97,0.98,0.94,0.95,0.96,0.96
Recall 1,0.49,0.45,0.46,0.41,0.66,0.62,0.6,0.6
Precision 0,0.94,0.94,0.94,0.94,0.96,0.96,0.96,0.96
Precision 1,0.63,0.67,0.68,0.71,0.54,0.59,0.62,0.61
