Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,365/409 (89.2%),376/409 (91.9%),376/409 (91.9%),369/409 (90.2%),399/506 (78.9%),353/506 (69.8%),405/506 (80.0%),391/506 (77.3%)
Campo Alagado,147/155 (94.8%),150/155 (96.8%),148/155 (95.5%),149/155 (96.1%),334/392 (85.2%),322/392 (82.1%),340/392 (86.7%),339/392 (86.5%)
Cana-de-açúcar,626/647 (96.8%),631/647 (97.5%),627/647 (96.9%),629/647 (97.2%),1490/1548 (96.3%),1458/1548 (94.2%),1497/1548 (96.7%),1486/1548 (96.0%)
Citrus,287/645 (44.5%),263/645 (40.8%),309/645 (47.9%),289/645 (44.8%),743/1183 (62.8%),804/1183 (68.0%),746/1183 (63.1%),759/1183 (64.2%)
Formação Florestal,1844/1873 (98.5%),1848/1873 (98.7%),1850/1873 (98.8%),1847/1873 (98.6%),3669/3786 (96.9%),3617/3786 (95.5%),3661/3786 (96.7%),3664/3786 (96.8%)
Pastagem,1255/1284 (97.7%),1263/1284 (98.4%),1262/1284 (98.3%),1257/1284 (97.9%),2362/2475 (95.4%),2309/2475 (93.3%),2344/2475 (94.7%),2347/2475 (94.8%)
Silvicultura,461/470 (98.1%),462/470 (98.3%),461/470 (98.1%),461/470 (98.1%),686/717 (95.7%),680/717 (94.8%),684/717 (95.4%),682/717 (95.1%)
Soja,721/752 (95.9%),718/752 (95.5%),716/752 (95.2%),718/752 (95.5%),1147/1278 (89.7%),1111/1278 (86.9%),1153/1278 (90.2%),1151/1278 (90.1%)
Recall 0,0.97,0.97,0.97,0.97,0.94,0.92,0.94,0.94
Recall 1,0.44,0.41,0.48,0.45,0.63,0.68,0.63,0.64
Precision 0,0.94,0.93,0.94,0.94,0.96,0.96,0.96,0.96
Precision 1,0.63,0.65,0.67,0.64,0.55,0.49,0.55,0.54
Train Time (s),6.48,6.3,5.69,9.03,7.17,7.22,5.7,6.08
Infer Time (s),0.008,0.0075,0.0073,0.0074,0.0139,0.0132,0.0159,0.0166
Peak Mem (MB),0.21,0.21,0.21,0.21,0.2,0.21,0.2,0.2
