Feature,Importance
B4_median,0.108693555
B3_mean,0.07855528
B7_min,0.038229663
B8_median,0.03428031
B12_slope_up,0.026045987
B11_std,0.021226155
B3_min,0.019598836
B3_median,0.019497007
B8A_min,0.017045075
B6_argmax,0.01590056
B8_min,0.015814323
B4_std,0.015801242
B5_min,0.014987096
B8_std,0.0139347175
B6_std,0.0134724295
B12_median,0.013362921
B5_std,0.012723934
B11_argmax,0.012076437
B12_argmax,0.011827905
B12_mean,0.011354498
B8_argmax,0.01111314
B12_slope_down,0.010330665
B7_slope_up,0.009904011
B8_mean,0.009875707
B12_std,0.009671893
B5_median,0.009621711
B2_mean,0.009286316
B8_amplitude,0.009116418
B6_median,0.008945211
B12_amplitude,0.008687458
B6_mean,0.0086025335
B2_std,0.00846397
B4_mean,0.008446121
B2_slope_up,0.00841242
B2_min,0.008262413
B11_max,0.008157174
B5_amplitude,0.0079473965
B3_max,0.007902023
B11_amplitude,0.007801633
B8_max,0.007772544
B5_mean,0.007770956
B4_min,0.007547896
B7_amplitude,0.00750281
B5_slope_down,0.007335878
B3_slope_up,0.0073196003
B7_max,0.0072517083
B4_argmax,0.007194306
B8A_amplitude,0.0071805036
B5_argmax,0.0070373504
B8A_std,0.007036982
B8_slope_down,0.0069559533
B6_slope_up,0.0069524487
B12_min,0.0068929023
B3_argmax,0.0068191956
B11_slope_up,0.006758344
B11_median,0.0066963076
B7_argmax,0.006693593
B2_max,0.0066791144
B7_std,0.006579148
B6_amplitude,0.0064434004
B2_median,0.006404784
B8_slope_up,0.006280399
B12_max,0.006269683
B2_slope_down,0.0062380577
B4_amplitude,0.006143361
B11_mean,0.006075929
B11_slope_down,0.006041905
B4_slope_down,0.0059792316
B8A_argmax,0.005945039
B8A_median,0.0059326547
B11_min,0.0058186976
B3_std,0.0058128154
B2_amplitude,0.0058042817
B8A_slope_up,0.00578579
B2_argmax,0.0057220515
B8A_mean,0.005664552
B3_slope_down,0.0056111845
B4_slope_up,0.005600656
B5_max,0.0055808793
B5_slope_up,0.0055466043
B6_min,0.0053065186
B6_max,0.005266169
B3_amplitude,0.005210738
B6_slope_down,0.0051393886
B7_slope_down,0.0049750097
B4_max,0.004966744
B8A_max,0.0047449176
B8A_slope_down,0.004660159
B7_median,0.0046119136
B7_mean,0.003462814
