Year,2023,2023,2023,2023,2024,2024,2024,2024
Seed,42,43,44,45,42,43,44,45
Café,352/409 (86.1%),352/409 (86.1%),358/409 (87.5%),362/409 (88.5%),453/506 (89.5%),373/506 (73.7%),442/506 (87.4%),433/506 (85.6%)
Campo Alagado,152/155 (98.1%),155/155 (100.0%),152/155 (98.1%),154/155 (99.4%),370/392 (94.4%),342/392 (87.2%),371/392 (94.6%),372/392 (94.9%)
Cana-de-açúcar,617/647 (95.4%),617/647 (95.4%),624/647 (96.4%),621/647 (96.0%),1504/1548 (97.2%),1446/1548 (93.4%),1496/1548 (96.6%),1499/1548 (96.8%)
Citrus,371/645 (57.5%),360/645 (55.8%),376/645 (58.3%),352/645 (54.6%),712/1183 (60.2%),868/1183 (73.4%),747/1183 (63.1%),759/1183 (64.2%)
Formação Florestal,1838/1873 (98.1%),1841/1873 (98.3%),1846/1873 (98.6%),1846/1873 (98.6%),3739/3786 (98.8%),3654/3786 (96.5%),3729/3786 (98.5%),3719/3786 (98.2%)
Pastagem,1259/1284 (98.1%),1258/1284 (98.0%),1254/1284 (97.7%),1258/1284 (98.0%),2432/2475 (98.3%),2337/2475 (94.4%),2412/2475 (97.5%),2414/2475 (97.5%)
Silvicultura,464/470 (98.7%),465/470 (98.9%),463/470 (98.5%),463/470 (98.5%),698/717 (97.4%),679/717 (94.7%),696/717 (97.1%),695/717 (96.9%)
Soja,712/752 (94.7%),699/752 (93.0%),719/752 (95.6%),710/752 (94.4%),1184/1278 (92.6%),1097/1278 (85.8%),1177/1278 (92.1%),1173/1278 (91.8%)
Recall 0,0.96,0.96,0.97,0.97,0.97,0.93,0.96,0.96
Recall 1,0.58,0.56,0.58,0.55,0.6,0.73,0.63,0.64
Precision 0,0.95,0.95,0.95,0.95,0.96,0.97,0.96,0.96
Precision 1,0.65,0.64,0.68,0.67,0.69,0.53,0.66,0.66
