Feature,Importance
EVI_median,0.07462526
B3_mean,0.06824918
NDVI_min,0.047537945
NDMI_std,0.033959854
EVI_min,0.026092524
B12_mean,0.020216448
B3_min,0.018503362
B11_std,0.015974732
B12_median,0.013322507
NDVI_median,0.01296875
B4_median,0.012684497
NDMI_min,0.012428485
NDVI_std,0.011733462
NDMI_slope_up,0.0114457235
B6_std,0.011438661
B12_max,0.010747653
NDTI_mean,0.009741886
EVI_slope_up,0.009623793
B8A_min,0.009415375
B7_max,0.009396962
NDRE_median,0.009307155
B12_slope_down,0.009293688
B7_min,0.008793386
NDTI_median,0.008316078
EVI_slope_down,0.008105506
B5_min,0.007854964
B11_mean,0.0077128434
B12_argmax,0.0075646816
NDMI_slope_down,0.0073920176
B3_median,0.0073736436
B5_std,0.007266482
NDVI_max,0.0071150786
NDRE_mean,0.0070886617
B12_slope_up,0.007031793
NDTI_min,0.006859718
NDRE_max,0.0064336467
NDRE_min,0.006365136
B4_amplitude,0.006334924
EVI_max,0.00619012
NDTI_max,0.0061625233
NDVI_slope_down,0.006043288
NDVI_slope_up,0.0060152025
B8_min,0.0059887553
B7_mean,0.005772838
B8_median,0.005732512
B11_max,0.005696919
B8A_std,0.0056454297
B8A_amplitude,0.00555988
NDRE_amplitude,0.005504806
NDMI_median,0.0054187467
B8_mean,0.005395703
B12_min,0.0053583775
B6_median,0.0053065037
B8_slope_down,0.005292647
NDRE_slope_down,0.0052717654
B8A_median,0.0052166022
B2_min,0.005201552
B2_std,0.0051720412
B3_slope_down,0.005172016
NDTI_std,0.005092214
B11_argmax,0.0050546736
B8_argmax,0.0050358693
B2_slope_up,0.005028145
B11_min,0.00502586
B12_amplitude,0.0050076554
B11_amplitude,0.004921143
NDMI_amplitude,0.004883961
B5_argmax,0.0048834407
NDTI_amplitude,0.004786986
B2_median,0.004770477
B8_slope_up,0.0047466564
B6_mean,0.004736527
B4_argmax,0.004689439
B5_mean,0.004657195
B5_median,0.004631941
B11_slope_up,0.004626064
B4_std,0.0045319432
EVI_std,0.00451759
B4_slope_up,0.004487288
EVI_amplitude,0.0044603106
B6_argmax,0.004453877
B11_slope_down,0.00442905
B4_slope_down,0.0044244477
NDTI_argmax,0.0044154846
B6_min,0.0043746927
NDMI_argmax,0.0043291897
EVI_argmax,0.004289606
B7_median,0.004288577
B8_max,0.004250927
NDRE_slope_up,0.004229104
B8A_argmax,0.004221158
B5_max,0.004188187
B7_slope_up,0.0041815187
B3_argmax,0.00415566
B4_min,0.0041031847
B2_max,0.004089651
B4_max,0.0040857177
NDTI_slope_up,0.004072208
B12_std,0.0040680068
B11_median,0.004012804
B8_amplitude,0.0039611366
NDMI_mean,0.0038963764
B7_argmax,0.0038953226
B2_argmax,0.003819488
B6_slope_up,0.0038168915
B3_max,0.0037934955
NDRE_std,0.003792383
NDTI_slope_down,0.0037675248
B2_mean,0.003767256
EVI_mean,0.003765617
B3_slope_up,0.003745984
B7_std,0.003742186
NDRE_argmax,0.0036888232
B3_std,0.003681647
B6_slope_down,0.0036769914
B7_amplitude,0.0036751127
NDVI_argmax,0.0036500755
B8A_slope_up,0.0036338156
B4_mean,0.0035575624
B7_slope_down,0.0034534181
NDMI_max,0.0034279365
B8_std,0.003424161
B6_amplitude,0.0033945385
B2_slope_down,0.0033557883
B2_amplitude,0.0033429721
B5_slope_up,0.0033022724
B6_max,0.0032943203
B5_slope_down,0.0032439642
NDVI_amplitude,0.0031905486
B5_amplitude,0.0030921737
B8A_max,0.003024139
B8A_slope_down,0.002869247
NDVI_mean,0.002842069
B8A_mean,0.0024390565
B3_amplitude,0.0023025959
