Year,2023,2023,2023,2024,2024,2024
Seed,42,43,44,42,43,44
Café,362/409 (88.5%),341/409 (83.4%),360/409 (88.0%),365/506 (72.1%),342/506 (67.6%),385/506 (76.1%)
Campo Alagado,138/155 (89.0%),138/155 (89.0%),142/155 (91.6%),298/392 (76.0%),297/392 (75.8%),313/392 (79.8%)
Cana-de-açúcar,630/647 (97.4%),625/647 (96.6%),632/647 (97.7%),1474/1548 (95.2%),1468/1548 (94.8%),1486/1548 (96.0%)
Citrus,221/645 (34.3%),257/645 (39.8%),219/645 (34.0%),759/1183 (64.2%),781/1183 (66.0%),718/1183 (60.7%)
Formação Florestal,1845/1873 (98.5%),1839/1873 (98.2%),1847/1873 (98.6%),3614/3786 (95.5%),3591/3786 (94.8%),3648/3786 (96.4%)
Pastagem,1256/1284 (97.8%),1249/1284 (97.3%),1258/1284 (98.0%),2256/2475 (91.2%),2230/2475 (90.1%),2298/2475 (92.8%)
Silvicultura,461/470 (98.1%),454/470 (96.6%),460/470 (97.9%),672/717 (93.7%),663/717 (92.5%),675/717 (94.1%)
Soja,731/752 (97.2%),720/752 (95.7%),731/752 (97.2%),1147/1278 (89.7%),1139/1278 (89.1%),1166/1278 (91.2%)
Recall 0,0.97,0.96,0.97,0.92,0.91,0.93
Recall 1,0.34,0.4,0.34,0.64,0.66,0.61
Precision 0,0.93,0.93,0.93,0.96,0.96,0.96
Precision 1,0.57,0.53,0.58,0.46,0.45,0.5
F1 0,0.95,0.95,0.95,0.94,0.93,0.94
F1 1,0.43,0.46,0.43,0.54,0.53,0.55
Train Time (s),14.26,14.25,14.51,20.46,16.92,13.85
Infer Time (s),0.0738,0.0839,0.0838,0.2198,0.162,0.0944
Infer Time / 1k (s),0.0118,0.0134,0.0134,0.0185,0.0136,0.0079
Peak Mem (MB),30.93,31.38,30.5,28.03,27.19,29.97
Energy (kWh),0.000133,0.000143,0.00014,0.000362,0.000255,0.000152
Emissions (kgCO2eq),1.3e-05,1.4e-05,1.4e-05,3.6e-05,2.5e-05,1.5e-05
