Year,2023,2023,2023,2024,2024,2024
Seed,42,43,44,42,43,44
Café,356/409 (87.0%),363/409 (88.8%),336/409 (82.2%),394/506 (77.9%),401/506 (79.2%),425/506 (84.0%)
Campo Alagado,153/155 (98.7%),153/155 (98.7%),147/155 (94.8%),327/392 (83.4%),336/392 (85.7%),349/392 (89.0%)
Cana-de-açúcar,629/647 (97.2%),633/647 (97.8%),622/647 (96.1%),1477/1548 (95.4%),1482/1548 (95.7%),1497/1548 (96.7%)
Citrus,301/645 (46.7%),287/645 (44.5%),353/645 (54.7%),803/1183 (67.9%),770/1183 (65.1%),722/1183 (61.0%)
Formação Florestal,1851/1873 (98.8%),1859/1873 (99.3%),1843/1873 (98.4%),3653/3786 (96.5%),3678/3786 (97.1%),3700/3786 (97.7%)
Pastagem,1254/1284 (97.7%),1258/1284 (98.0%),1239/1284 (96.5%),2324/2475 (93.9%),2346/2475 (94.8%),2383/2475 (96.3%)
Silvicultura,462/470 (98.3%),462/470 (98.3%),459/470 (97.7%),674/717 (94.0%),679/717 (94.7%),684/717 (95.4%)
Soja,725/752 (96.4%),723/752 (96.1%),695/752 (92.4%),1144/1278 (89.5%),1158/1278 (90.6%),1182/1278 (92.5%)
Recall 0,0.97,0.98,0.96,0.93,0.94,0.95
Recall 1,0.47,0.44,0.55,0.68,0.65,0.61
Precision 0,0.94,0.94,0.95,0.96,0.96,0.96
Precision 1,0.65,0.67,0.59,0.53,0.55,0.6
F1 0,0.96,0.96,0.95,0.95,0.95,0.96
F1 1,0.54,0.54,0.57,0.6,0.6,0.6
Infer Time / 1k (s),0.0135,0.0136,0.0135,0.008,0.008,0.008
Energy (kWh),0.000177,0.000195,0.000194,0.000185,0.000181,0.000173
Emissions (kgCO2eq),1.7e-05,1.9e-05,1.9e-05,1.8e-05,1.8e-05,1.7e-05
