Feature,Importance
EVI_median,0.045132175107059934
NDVI_median,0.030175825751772252
NDVI_mean,0.028618677056197687
B3_mean,0.027811407609820517
B3_median,0.025053077960304954
NDMI_std,0.022962853564073134
B3_min,0.021073428032684482
EVI_mean,0.020742374282790178
EVI_min,0.01962628159253325
B4_median,0.01950692676309693
B4_mean,0.01916171523825759
NDVI_min,0.018869223306194782
B8_median,0.01875450026396958
NDVI_std,0.018504950100782215
B2_median,0.015576823829638878
B11_std,0.013914192660050465
NDMI_min,0.01285897296451206
NDMI_slope_up,0.012767560149531834
NDTI_median,0.012292745546001306
B2_mean,0.011825559780862895
NDVI_max,0.010957054043134726
NDTI_mean,0.010441695535956764
NDTI_min,0.010324981063534766
NDMI_slope_down,0.009361519176964265
B12_slope_down,0.009230539422113755
B12_std,0.009065398792685891
NDMI_amplitude,0.009018358872975779
B2_min,0.008889562135821066
B8_mean,0.00850788069517064
NDTI_std,0.008396531078633602
B12_max,0.008323460822255692
B5_std,0.008243891061107038
EVI_slope_up,0.008231692961073718
NDVI_amplitude,0.00820987596849792
B12_slope_up,0.008158030918466033
B4_max,0.007746394911697774
B12_mean,0.007214484960075619
B11_amplitude,0.007192970487443925
NDMI_median,0.007053504124187642
B4_min,0.006917811663731367
EVI_slope_down,0.006869349662549394
EVI_std,0.006821942097232217
B11_max,0.0065123460373013664
B6_std,0.006480208873565514
NDRE_amplitude,0.006468862739388653
B4_std,0.006446518837436409
B8_min,0.0063993722751354695
NDVI_slope_down,0.006373218505947224
NDVI_slope_up,0.0063622790536967825
NDRE_std,0.006352776652942515
B12_median,0.006297846111011073
NDMI_mean,0.005915825543942341
NDRE_min,0.00581116114770777
NDRE_max,0.005719944283146693
EVI_max,0.005707285052926204
NDRE_mean,0.005675932385540808
B5_min,0.005662266298976819
B8A_std,0.0055252909805628475
B11_slope_up,0.005519886537505566
B11_slope_down,0.005489365739763961
NDTI_max,0.005481258679547384
B12_amplitude,0.005393979276714306
B4_amplitude,0.00533027301006768
B7_std,0.005327934849542963
NDRE_slope_down,0.005245114073555478
B8A_median,0.005122951435042861
NDRE_median,0.005002502514348484
B7_median,0.004990689093240401
B12_min,0.004935473261812176
NDTI_amplitude,0.0049309695142908
EVI_amplitude,0.004866264645577689
B6_median,0.004804714220744993
B7_min,0.004778831071409681
B11_median,0.004777503410062378
B8_std,0.004759740583368522
B11_min,0.0047304748271275775
B8A_min,0.0045919624290939424
B8_max,0.004585321841404668
B2_slope_up,0.00456052359251428
B5_median,0.004551406384249738
B5_mean,0.00448278395446946
B5_amplitude,0.004471881680523566
NDRE_slope_up,0.0044678229185846855
NDMI_max,0.004426977819479669
B11_mean,0.0043523718840118245
B6_slope_up,0.004271587700254535
B4_slope_down,0.004229159686009663
B4_slope_up,0.004221579659890228
B3_slope_up,0.004207313955503319
B7_slope_up,0.004173951558531678
B6_min,0.004134624751396491
B8_slope_down,0.004134509476773562
B8_slope_up,0.004133138736670177
B2_slope_down,0.004101861935617478
B2_std,0.003955175542109882
B3_std,0.003932312832750187
B5_max,0.003908570735173725
B5_slope_down,0.003906417272833396
B6_slope_down,0.0038594871019972587
B7_slope_down,0.003822836175045606
B6_amplitude,0.003799189136969358
B3_max,0.003796732874290288
B2_max,0.0037830947552138835
B3_slope_down,0.00378108435553981
B8_amplitude,0.0037663676140942833
B7_max,0.0037636928826460304
B5_slope_up,0.003758285961360749
B8A_slope_down,0.0037563160326990275
B8A_max,0.0037473682827163872
B8A_slope_up,0.003709627997046032
NDTI_slope_down,0.003667970076438077
B6_mean,0.0036556248845552005
B8A_mean,0.0036462555184991812
B7_amplitude,0.003628743601400019
B2_amplitude,0.0035839459071403635
B8A_amplitude,0.0035806050759477994
NDTI_slope_up,0.00346894612965545
B7_mean,0.0033586166035594724
B3_amplitude,0.003233064106840359
NDRE_argmax,0.003165997235999887
B6_max,0.0031586634460132163
B4_argmax,0.002991227488529578
B5_argmax,0.0029468555806430614
B12_argmax,0.0029034485907786225
NDMI_argmax,0.002758088710837084
B11_argmax,0.0027422645108001746
NDTI_argmax,0.002676331159392573
NDVI_argmax,0.00230965108796715
EVI_argmax,0.002221197211539135
B2_argmax,0.0021980634733246335
B3_argmax,0.0021557715411098027
B6_argmax,0.0019173210114486782
B8_argmax,0.0019080386451604493
B8A_argmax,0.0017075730727317807
B7_argmax,0.0016651322738274917
