Feature,Importance
EVI_median,0.05005807927493492
NDVI_median,0.032582302228396164
B3_median,0.029999273690800132
B3_mean,0.02788142696084042
EVI_mean,0.026131313548363216
NDMI_std,0.025992703987863783
NDVI_std,0.023187922992021267
B4_median,0.022983687387818277
NDVI_mean,0.022949761731672097
EVI_min,0.02271495803942799
B3_min,0.020900185675239328
B4_mean,0.01973685701348132
B8_median,0.019044710559731115
B2_median,0.0179759829381282
NDVI_min,0.01387540404441095
B11_std,0.012436603155984109
NDVI_max,0.012172436708333765
B2_mean,0.011286354682857042
NDTI_median,0.010905086412976618
NDTI_min,0.010320923282490976
EVI_std,0.010081003281139728
NDTI_mean,0.00961132191366205
B2_min,0.00938641173417587
NDMI_min,0.009172674246636758
B8_mean,0.008827942042287665
B11_amplitude,0.008809616150019675
B12_slope_up,0.008686757801993798
NDMI_slope_up,0.008674648588184246
NDMI_slope_down,0.00833510491897807
B5_std,0.008326421078227734
NDTI_std,0.008008026356567666
B4_std,0.007891207532094555
B12_std,0.0077741900126854745
EVI_slope_down,0.0074893460164692
B8_min,0.00748616546115056
NDMI_median,0.007296234164164544
B12_mean,0.007198469070553693
B4_min,0.007158248332550335
NDMI_mean,0.00715797274137064
NDMI_amplitude,0.007094534227064218
EVI_max,0.007078425318772559
B12_median,0.00699324863506666
B4_max,0.006800344639607458
B11_max,0.006701021096181535
B12_amplitude,0.006539101169891663
EVI_slope_up,0.006428704823078555
NDRE_std,0.006357682747831733
B5_min,0.006268286925630074
B12_slope_down,0.005984705814675918
B12_max,0.0059660492940519436
B6_std,0.005910495118061234
NDRE_amplitude,0.005870438205971039
NDVI_slope_down,0.0058342633748240166
B6_median,0.00582642867986507
B11_median,0.0057780355064012984
NDTI_max,0.005561973420015428
B12_min,0.0055271540214361405
EVI_amplitude,0.005430144572174568
B7_min,0.005337796426030626
B11_slope_up,0.0053083268122379
NDRE_max,0.005247676789822288
B8A_median,0.005173163981684812
NDRE_min,0.005110831876551143
NDVI_amplitude,0.005062043701687273
B11_slope_down,0.005051970124211711
NDRE_mean,0.005020050915200757
NDMI_max,0.005012697872648526
B8A_std,0.005003092013598762
B7_median,0.004939066223969045
NDRE_median,0.004938060061691831
B5_mean,0.0048932117391152306
B11_mean,0.004853064586823141
B8_std,0.004825076493068326
B8A_min,0.004760763551863953
B8_max,0.004715928270761985
NDVI_slope_up,0.004678188492019669
B7_std,0.004616892628748786
NDTI_amplitude,0.004595466714020786
NDRE_slope_down,0.004593760168659036
B5_amplitude,0.004515812409482866
B11_min,0.004429695994407232
B5_median,0.0044204045541195724
B6_min,0.004304530901565357
B2_std,0.0041380666626659205
B4_slope_up,0.004053385306210876
B2_slope_up,0.003979065129898591
B2_slope_down,0.003955661721352142
B8_slope_up,0.003919447329569191
B7_slope_up,0.0038893851621670346
B6_mean,0.003884991758613138
B12_argmax,0.00387223995204992
B2_max,0.0038103917363578417
B5_slope_down,0.0037882421928155173
B8A_slope_up,0.0037780345229455115
B8A_mean,0.0037402654128907338
B3_slope_down,0.0037306508750860716
NDRE_slope_up,0.0037302176296974605
NDTI_slope_up,0.0037091551148663413
B3_std,0.003696922472031351
B4_amplitude,0.003686859605496856
B4_slope_down,0.0036619390621203834
B11_argmax,0.0036189161028250373
B5_slope_up,0.0036157615415121093
B7_amplitude,0.0036037870634802634
B3_slope_up,0.003544684610232746
B6_slope_up,0.003541080115362572
B6_amplitude,0.0035103629531640277
B8_slope_down,0.0034912429662332274
B2_amplitude,0.0034875712695878885
B8A_amplitude,0.00347585168616372
B7_max,0.0034428458827634252
B7_mean,0.0034159264256626194
B8A_slope_down,0.00340898086826084
B5_max,0.0033746715696999006
B3_max,0.0033720458605380516
B8_amplitude,0.003357937350240631
B8A_max,0.003332761353004205
B4_argmax,0.0032997192181875956
NDTI_slope_down,0.0032310718452439754
B3_amplitude,0.0032293317609043757
B7_slope_down,0.003170457998324276
B6_slope_down,0.0030851133950475745
B5_argmax,0.003004117052295174
NDRE_argmax,0.002913284921165666
B6_max,0.002862530069118709
NDTI_argmax,0.002639068488402167
NDMI_argmax,0.002554022566417094
NDVI_argmax,0.0023181698131450536
EVI_argmax,0.002008386449597728
B3_argmax,0.0020076264039922366
B2_argmax,0.001978939020609016
B6_argmax,0.001965186867840177
B8_argmax,0.001822939071226124
B8A_argmax,0.0017398350256863386
B7_argmax,0.0016845041139547112
