Year,2023,2023,2023,2024,2024,2024
Seed,42,43,44,42,43,44
Café,361/409 (88.3%),373/409 (91.2%),383/409 (93.6%),422/506 (83.4%),376/506 (74.3%),398/506 (78.7%)
Campo Alagado,146/155 (94.2%),147/155 (94.8%),147/155 (94.8%),350/392 (89.3%),336/392 (85.7%),338/392 (86.2%)
Cana-de-açúcar,623/647 (96.3%),626/647 (96.8%),631/647 (97.5%),1501/1548 (97.0%),1484/1548 (95.9%),1496/1548 (96.6%)
Citrus,333/645 (51.6%),288/645 (44.7%),293/645 (45.4%),693/1183 (58.6%),775/1183 (65.5%),753/1183 (63.7%)
Formação Florestal,1830/1873 (97.7%),1852/1873 (98.9%),1853/1873 (98.9%),3698/3786 (97.7%),3655/3786 (96.5%),3661/3786 (96.7%)
Pastagem,1243/1284 (96.8%),1256/1284 (97.8%),1257/1284 (97.9%),2391/2475 (96.6%),2338/2475 (94.5%),2349/2475 (94.9%)
Silvicultura,454/470 (96.6%),457/470 (97.2%),461/470 (98.1%),693/717 (96.7%),683/717 (95.3%),684/717 (95.4%)
Soja,710/752 (94.4%),722/752 (96.0%),729/752 (96.9%),1178/1278 (92.2%),1143/1278 (89.4%),1151/1278 (90.1%)
Recall 0,0.96,0.97,0.98,0.96,0.94,0.94
Recall 1,0.52,0.45,0.45,0.59,0.66,0.64
Precision 0,0.95,0.94,0.94,0.95,0.96,0.96
Precision 1,0.6,0.65,0.69,0.6,0.53,0.55
F1 0,0.95,0.95,0.96,0.96,0.95,0.95
F1 1,0.55,0.53,0.55,0.59,0.59,0.59
Train Time (s),50.32,27.11,9.39,15.4,8.63,9.34
Infer Time (s),0.03,0.0074,0.0075,0.021,0.013,0.013
Infer Time / 1k (s),0.0048,0.0012,0.0012,0.0018,0.0011,0.0011
Peak Mem (MB),0.83,0.83,0.8,0.87,0.76,0.8
Energy (kWh),0.000941,0.000472,9.6e-05,0.000198,8.6e-05,9.4e-05
Emissions (kgCO2eq),9.3e-05,4.6e-05,9e-06,1.9e-05,8e-06,9e-06
