Feature,Importance
B4_median,0.076707214
B8_median,0.061537564
B3_mean,0.043156024
B4_mean,0.036269795
B11_std,0.027262235
B12_mean,0.02336859
B7_min,0.019934453
B3_min,0.019619163
B3_median,0.019456021
B12_slope_down,0.0179359
B12_slope_up,0.017148344
B8A_min,0.015376903
B5_std,0.013871668
B8_min,0.013830885
B4_std,0.013612244
B6_std,0.01356921
B5_min,0.0131820105
B8_argmax,0.012992788
B12_median,0.012437086
B12_argmax,0.011776664
B4_amplitude,0.011775086
B12_max,0.011104851
B4_argmax,0.011035969
B8_mean,0.010913981
B11_amplitude,0.010793755
B11_argmax,0.010486313
B8_max,0.010115312
B12_std,0.009885031
B8_slope_down,0.009866685
B6_mean,0.009387956
B2_std,0.009112632
B12_amplitude,0.0090654725
B3_slope_up,0.008982851
B8A_std,0.008967275
B5_median,0.008790753
B11_max,0.008764502
B7_max,0.008756752
B12_min,0.008565917
B8A_slope_down,0.008545717
B2_min,0.008522808
B6_argmax,0.00851715
B8_std,0.008366143
B4_min,0.007904711
B5_argmax,0.0078855
B11_min,0.0077131223
B7_std,0.007619254
B5_mean,0.0075427205
B2_slope_up,0.007446326
B8_amplitude,0.0074411714
B7_argmax,0.007374289
B3_max,0.007195972
B5_slope_down,0.0071672886
B7_slope_up,0.007144439
B2_slope_down,0.0070597194
B6_amplitude,0.0070442553
B2_median,0.007018583
B11_median,0.00697234
B3_slope_down,0.0069709383
B3_std,0.0069555943
B6_slope_up,0.0067619537
B5_max,0.0067082546
B2_mean,0.006688607
B3_argmax,0.006682737
B7_median,0.006669049
B3_amplitude,0.0065076873
B11_mean,0.006460156
B8A_slope_up,0.0064048036
B4_max,0.0063851513
B8A_amplitude,0.0063806
B4_slope_up,0.0063555986
B5_amplitude,0.0061759115
B7_amplitude,0.0061325403
B7_slope_down,0.006007163
B8A_median,0.005999039
B2_amplitude,0.005993432
B8_slope_up,0.0059704217
B6_slope_down,0.0057387752
B8A_max,0.0057213195
B11_slope_up,0.005659511
B6_median,0.0056335176
B11_slope_down,0.005578694
B5_slope_up,0.005566667
B4_slope_down,0.005556179
B6_min,0.0052909427
B8A_argmax,0.005115074
B2_max,0.005082748
B6_max,0.0049222214
B7_mean,0.004914297
B2_argmax,0.00489164
B8A_mean,0.004221399
