Year,2023,2023,2023,2024,2024,2024
Seed,42,43,44,42,43,44
Café,363/409 (88.8%),355/409 (86.8%),363/409 (88.8%),452/506 (89.3%),425/506 (84.0%),412/506 (81.4%)
Campo Alagado,154/155 (99.4%),152/155 (98.1%),154/155 (99.4%),371/392 (94.6%),361/392 (92.1%),368/392 (93.9%)
Cana-de-açúcar,622/647 (96.1%),621/647 (96.0%),625/647 (96.6%),1501/1548 (97.0%),1485/1548 (95.9%),1484/1548 (95.9%)
Citrus,347/645 (53.8%),352/645 (54.6%),350/645 (54.3%),715/1183 (60.4%),769/1183 (65.0%),787/1183 (66.5%)
Formação Florestal,1846/1873 (98.6%),1845/1873 (98.5%),1850/1873 (98.8%),3734/3786 (98.6%),3717/3786 (98.2%),3704/3786 (97.8%)
Pastagem,1261/1284 (98.2%),1258/1284 (98.0%),1260/1284 (98.1%),2427/2475 (98.1%),2401/2475 (97.0%),2388/2475 (96.5%)
Silvicultura,463/470 (98.5%),460/470 (97.9%),462/470 (98.3%),698/717 (97.4%),694/717 (96.8%),688/717 (96.0%)
Soja,714/752 (94.9%),704/752 (93.6%),717/752 (95.3%),1180/1278 (92.3%),1152/1278 (90.1%),1146/1278 (89.7%)
Recall 0,0.97,0.97,0.97,0.97,0.96,0.95
Recall 1,0.54,0.55,0.54,0.6,0.65,0.67
Precision 0,0.95,0.95,0.95,0.96,0.96,0.96
Precision 1,0.68,0.64,0.69,0.68,0.62,0.61
F1 0,0.96,0.96,0.96,0.96,0.96,0.96
F1 1,0.6,0.59,0.61,0.64,0.64,0.63
Infer Time / 1k (s),0.0014,0.0015,0.0013,0.002,0.0012,0.0014
Energy (kWh),0.0002,0.000387,0.000202,0.000221,0.000251,0.000217
Emissions (kgCO2eq),2e-05,3.8e-05,2e-05,2.2e-05,2.5e-05,2.1e-05
