Feature,Importance
EVI_min,0.08722118
EVI_median,0.07079383
B12_median,0.03719267
B3_min,0.032733984
B12_mean,0.028289696
NDMI_std,0.025307227
B3_mean,0.022976343
B11_std,0.014656343
B3_median,0.014406072
B12_slope_up,0.012296845
B4_median,0.011663058
B4_argmax,0.011027184
B8_argmax,0.010782315
NDVI_median,0.01054829
B5_min,0.009873852
NDMI_slope_up,0.009306177
B12_slope_down,0.009109412
B12_max,0.0087637035
NDTI_median,0.0086902045
B11_argmax,0.008608002
B7_median,0.008572432
EVI_slope_down,0.0085428385
B6_median,0.00828003
B6_std,0.008130179
B12_argmax,0.008075113
B12_min,0.008070244
NDMI_slope_down,0.007893724
NDVI_std,0.0078211
EVI_max,0.0077386815
B8_min,0.007721034
B7_min,0.007603276
NDTI_min,0.0071640154
NDMI_mean,0.007159893
B11_amplitude,0.0070251217
NDRE_median,0.0070125465
B6_argmax,0.006910929
NDTI_mean,0.0067709005
NDRE_mean,0.006767362
B2_min,0.0067421463
B8_amplitude,0.0066584344
B4_mean,0.006615358
EVI_slope_up,0.006479659
NDMI_min,0.006384864
B8_median,0.006256969
NDRE_max,0.0062029404
NDVI_max,0.006069953
NDVI_slope_down,0.00598228
B11_median,0.0059716427
NDRE_amplitude,0.005959817
B8A_mean,0.005490946
NDTI_std,0.005412694
B8A_median,0.005400085
B8A_std,0.00528252
B11_min,0.0052750492
B3_slope_up,0.005274035
B2_max,0.005245861
B5_std,0.0052453857
B6_mean,0.005235072
EVI_std,0.00515251
B7_argmax,0.0051251673
B8A_min,0.005101519
B11_mean,0.005020486
B5_slope_down,0.0050194776
B8A_amplitude,0.0050088125
B12_amplitude,0.0050007086
NDRE_std,0.004932047
B2_median,0.0049044103
B7_slope_up,0.004893101
NDRE_slope_down,0.004878231
B5_mean,0.0048643346
NDTI_max,0.0048490665
NDVI_slope_up,0.004811317
NDTI_slope_down,0.004788593
B11_slope_down,0.004778697
B8_std,0.004751154
NDMI_median,0.0046548275
B8A_slope_up,0.004508732
EVI_mean,0.0045057023
NDRE_min,0.0044865757
B2_mean,0.0042995326
B4_min,0.004295882
B5_median,0.004264712
B2_std,0.0042123646
B11_max,0.004175611
NDVI_argmax,0.0041539297
NDRE_argmax,0.004130599
NDMI_argmax,0.0041128397
B11_slope_up,0.004077607
B8_mean,0.0040637115
B6_amplitude,0.0040567294
B7_mean,0.0039961124
B5_max,0.0039778436
NDMI_amplitude,0.0039433036
EVI_argmax,0.0039325575
B8_max,0.0039169253
B4_std,0.0038617474
B6_slope_down,0.0038579262
B2_slope_down,0.003853421
B2_slope_up,0.0038205206
NDVI_min,0.003772651
B7_std,0.003712928
B5_slope_up,0.0036950693
B3_max,0.0036825796
B8_slope_up,0.0036802616
B12_std,0.0036792778
B8A_slope_down,0.0036764285
B3_argmax,0.0036236846
B4_slope_down,0.0036211584
B7_slope_down,0.0035803127
B4_max,0.003553614
B6_min,0.0035244895
NDVI_amplitude,0.0035208964
B8A_max,0.0035021459
NDMI_max,0.003480209
B7_amplitude,0.0034651696
B7_max,0.0033744655
B4_slope_up,0.0033672121
B4_amplitude,0.003327393
B6_max,0.0033207005
NDVI_mean,0.0032364107
NDTI_argmax,0.0031966134
B2_amplitude,0.003194702
B5_amplitude,0.0031734344
B8_slope_down,0.003125266
NDTI_amplitude,0.003111402
B3_slope_down,0.0030569816
B5_argmax,0.0030522621
NDTI_slope_up,0.0030450702
EVI_amplitude,0.0029917094
B2_argmax,0.002891641
B6_slope_up,0.0028518133
B3_amplitude,0.0028395867
B8A_argmax,0.0027114039
NDRE_slope_up,0.0023604517
B3_std,0.002269798
